X,Y,fid,gml_id,OBJECTID,C_S_Nr,C_S_Name,C_S_SG,C_S_Str,C_S_HNr,C_S_PLZ,C_S_Ort,C_S_Email,C_S_HomeP,C_S_GEO_X,C_S_GEO_Y,C_S_Status,C_S_SF,C_S_SF_Sta,C_S_GTA,C_S_Traeg,C_S_SI,C_S_PrSt,C_S_SuS,C_S_SuS_ES,C_S_SuS_PS,C_S_SuS_S1,C_S_SuS_S2,Schwerpunkt
569254.962,5943153.21899999958,C_2015_Schulen_PrSt.22,id9270b197-0ad4-4c4e-b4ba-04cb7292a3ff,38,5053,Albert-Schweitzer-Schule,54001,Schluchtweg,1,22337,Hamburg,Albert-Schweitzer-Schule@bsb.hamburg.de,http://www.albert-schweitzer-schule.hamburg.de,569254.962,5943153.219,staatl.,STS,STS,ohne Ganztagsangebot,,6,PrSt,714,0,408,306,0,
570827.476,5938162.096,C_2015_Schulen_PrSt.23,id9728b179-c5ba-4485-86c5-95193e2f68ef,40,5056,Stadtteilschule Alter Teichweg,52001,Alter Teichweg,200,22049,Hamburg,stadtteilschule-alter-teichweg@bsb.hamburg.de,http://www.gs-atw.de,570827.476,5938162.096,staatl.,STS,STS,GTS ohne Träger,,2,PrSt,1086,30,197,574,285,1
575569.521,5931780.963,C_2015_Schulen_PrSt.24,id5427e0f8-2b84-4183-97e0-1beb97aa88cc,42,5058,Grundschule Mümmelmannsberg,12026,Mümmelmannsberg,54,22115,Hamburg,grundschule-muemmelmannsberg@bsb.hamburg.de,http://www.grundschule-muemmelsmannsberg.hamburg.de,575569.521,5931780.963,staatl.,G,G,GTS ohne Träger,,1,PrSt,469,68,401,0,0,1
576550.787,5931475.91399999987,C_2015_Schulen_PrSt.25,id709464af-1eb4-4937-a35d-9283c1df1387,43,5059,Grundschule Rahewinkel,12028,Rahewinkel,9,22115,Hamburg,grundschule-rahewinkel@bsb.hamburg.de,http://www.grundschule-rahewinkel.hamburg.de,576550.787,5931475.914,staatl.,G,G,GTS ohne Träger,,1,PrSt,361,52,309,0,0,
574093.278,5941160.456,C_2015_Schulen_PrSt.26,iddaaeed82-9998-46a3-801f-cc6827252579,47,5064,Erich Kästner Schule,62006,An der Berner Au,12,22159,Hamburg,erich-kaestner-schule@bsb.hamburg.de,http://www.erich-kaestner-hamburg-schule.de,574093.278,5941160.456,staatl.,STS,STS,GTS ohne Träger,,3,PrSt,1431,46,247,882,256,1
569311.979,5941244.64599999972,C_2015_Schulen_PrSt.27,id7a651075-ef44-4403-926f-ec361031a5e0,55,5074,Grundschule Edwin-Scharff-Ring,64001,Edwin-Scharff-Ring,56,22309,Hamburg,grundschule-edwin-scharff-ring@bsb.hamburg.de,http://www.grundschule-edwin-scharff-ring.hamburg.de,569311.979,5941244.646,staatl.,G,G,GBS (immer mit Träger),,2,PrSt,254,37,217,0,0,
570287.622,5941488.54899999965,C_2015_Schulen_PrSt.28,id05570142-0b39-4a14-b209-0390c1bcb560,56,5075,Schule am See,64001,Gropiusring,43,22309,Hamburg,schule-am-see@bsb.hamburg.de,http://www.schuleamsee-hamburg.de,570287.622,5941488.549,staatl.,STS,STS,GTS ohne Träger,,2,PrSt,474,18,179,277,0,
561070.868,5935085.49,C_2015_Schulen_PrSt.29,id5e34cb29-97f4-4942-9cc2-727c3361323f,57,5076,Max-Brauer-Schule,25017,Daimlerstraße,40,22761,Hamburg,max-brauer-schule@bsb.hamburg.de,http://www.max-brauer-schule.de,561070.868,5935085.49,staatl.,STS,STS,GTS ohne Träger,,5,PrSt,1461,19,270,882,290,
579887.992,5919656.80399999954,C_2015_Schulen_PrSt.30,id5c43868c-4f3a-4574-85dd-36e742e5346c,65,5087,Stadtteilschule Kirchwerder,80002,Kirchwerder Hausdeich,341,21037,Hamburg,stadtteilschule-kirchwerder@bsb.hamburg.de,http://www.schule-kirchwerder.hamburg.de,579887.992,5919656.804,staatl.,STS,STS,GBS (immer mit Träger),,4,PrSt,1077,20,111,781,165,
567981.224,5938061.305,C_2015_Schulen_PrSt.31,id2647b0ee-9336-46c3-a6cf-487924a1f926,66,5088,Stadtteilschule Winterhude,48025,Meerweinstraße,26,22303,Hamburg,stadtteilschule-winterhude@bsb.hamburg.de,http://www.sts-winterhude.de,567981.224,5938061.305,staatl.,STS,STS,GTS ohne Träger,,5,PrSt,1074,26,269,574,205,
564461.17,5938039.491,C_2015_Schulen_PrSt.32,id957c3608-7c6b-4b29-9c5d-b3bff09ce68c,68,5090,Stadtteilschule Eppendorf,44001,Löwenstraße,58,20251,Hamburg,stadtteilschule-eppendorf@bsb.hamburg.de,http://www.gseppendorf.de,564461.17,5938039.491,staatl.,STS,STS,GTS ohne Träger,,4,PrSt,951,13,180,758,0,
565656.761,5928968.768,C_2015_Schulen_PrSt.33,id04d427e2-3782-4dc9-9d89-80b0c725de76,71,5095,Stadtteilschule Wilhelmsburg,16013,Perlstieg,1,21107,Hamburg,stadtteilschule-wilhelmsburg@bsb.hamburg.de,http://www.stadtteilschule-wilhelmsburg.hamburg.de,565656.761,5928968.768,staatl.,STS,STS,GTS ohne Träger,,1,PrSt,1155,51,287,817,0,
573059.09,5934721.91399999987,C_2015_Schulen_PrSt.34,idded6058f-2fb6-4c69-96e8-ab474af200d2,72,5097,Brüder-Grimm-Schule,11011,Steinadlerweg,26,22119,Hamburg,brueder-grimm-schule@bsb.hamburg.de,http://brueder-grimm.schulhomepages.hamburg.de/,573059.09,5934721.914,staatl.,STS,STS,GTS ohne Träger,,2,PrSt,905,18,241,646,0,
567604.556,5931365.483,C_2015_Schulen_PrSt.35,id855ab5d6-086d-476d-a0fc-cf56d64fd41d,74,5099,Schule auf der Veddel,15001,Slomanstieg,1,20539,Hamburg,schule-auf-der-veddel@bsb.hamburg.de,http://www.schule-auf-der-veddel.hamburg.de,567604.556,5931365.483,staatl.,STS,STS,GTS ohne Träger,,1,PrSt,458,20,208,230,0,1
558646.559,5931259.80399999954,C_2015_Schulen_PrSt.36,idd9458803-b527-49c5-a047-a94b950b0c36,75,5100,Aueschule Finkenwerder,20008,Ostfrieslandstraße,91,21129,Hamburg,aueschule-finkenwerder@bsb.hamburg.de,http://www.aueschule-finkenwerder.hamburg.de,558646.559,5931259.804,staatl.,G,G,GTS ohne Träger,,3,PrSt,217,44,173,0,0,1
565905.596,5933033.59499999974,C_2015_Schulen_PrSt.37,id2bb1bbc5-e852-441b-8749-cab16f0df70b,76,5101,Katharinenschule in der Hafencity,2001,Am Dalmannkai,18,20457,Hamburg,katharinenschule-in-der-hafencity@bsb.hamburg.de,http://www.katharinenschule-hafencity.de,565905.596,5933033.595,staatl.,G,G,GTS ohne Träger,,4,PrSt,288,41,247,0,0,
573850.516,5939471.65199999977,C_2015_Schulen_PrSt.38,id7cc43cf6-eaa4-4e1d-8da0-2c9b6475891e,77,5102,Grundschule Eckerkoppel,62013,Berner Heerweg,99,22159,Hamburg,grundschule-eckerkoppel@bsb.hamburg.de,http://www.grundschule.eckerkoppel.hamburg.de,573850.516,5939471.652,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,311,44,267,0,0,
563513.998,5933628.61099999957,C_2015_Schulen_PrSt.39,idea6b8930-0c8a-48c7-83c0-8fcf4d3eb156,78,5103,Grundschule St.Pauli,4009,Friedrichstraße,55,20359,Hamburg,ganztagsschule-st-pauli@bsb.hamburg.de,http://ganztagsschule-stpauli.schulhomepages.hamburg.de/,563513.998,5933628.611,staatl.,G,G,GTS ohne Träger,,2,PrSt,181,14,167,0,0,
558784.43,5940838.712,C_2015_Schulen_PrSt.40,id7f6682ed-857e-42d0-89b9-6b655ca3e5a6,79,5104,Grundschule Lohkampstraße,42010,Lohkampstraße,145,22523,Hamburg,grundschule-lohkampstrasse@bsb.hamburg.de,http://www.grundschule-lohkampstrasse.de,558784.43,5940838.712,staatl.,G,G,GBS (immer mit Träger),,2,PrSt,185,35,150,0,0,
566964.564,5934648.971,C_2015_Schulen_PrSt.41,idcfea2214-f8e2-4432-a903-ea89d4a706f5,80,5105,Heinrich-Wolgast-Schule,5004,Greifswalder Straße,40,20099,Hamburg,heinrich-wolgast-schule@bsb.hamburg.de,http://www.heinrich-wolgast-schule.de,566964.564,5934648.971,staatl.,G,G,GTS ohne Träger,,3,PrSt,343,19,324,0,0,
568966.53,5934801.383,C_2015_Schulen_PrSt.42,id5c31cb22-c708-4edc-93a0-2c879acdbe49,81,5106,Schule Hohe Landwehr,8005,Hohe Landwehr,19,20535,Hamburg,schule-hohe-landwehr@bsb.hamburg.de,http://www.schule-hohe-landwehr.hamburg.de,568966.53,5934801.383,staatl.,G,G,GTS ohne Träger,,2,PrSt,291,50,241,0,0,
567962.444,5947403.39499999955,C_2015_Schulen_PrSt.43,id2d64ed7d-744b-4da4-872d-59aadfc4b20e,82,5111,Grundschule Am Heidberg,56010,Tangstedter Landstraße,300,22417,Hamburg,grundschule-am-heidberg@bsb.hamburg.de,http://www.grundschule-am-heidberg.de,567962.444,5947403.395,staatl.,G,G,GTS ohne Träger,,5,PrSt,413,45,368,0,0,1
566987.673,5927555.8,C_2015_Schulen_PrSt.44,ida9c506d4-ef08-4aaa-9f14-4d6296a362e8,83,5117,Grundschule Kirchdorf,16021,Prassekstraße,5,21109,Hamburg,grundschule-kirchdorf@bsb.hamburg.de,http://www.gskirchdorf.hamburg.de,566987.673,5927555.8,staatl.,G,G,GBS (immer mit Träger),,1,PrSt,344,54,290,0,0,
574191.26,5933343.007,C_2015_Schulen_PrSt.45,id80aae6e1-7d37-4cdf-8efd-a1324f8c2e5a,84,5118,Grundschule Archenholzstraße,12009,Archenholzstraße,55,22117,Hamburg,grundschule-archenholzstrasse@bsb.hamburg.de,http://www.arche-gsoe.de,574191.26,5933343.007,staatl.,G,G,GTS ohne Träger,,2,PrSt,326,52,274,0,0,
557210.506,5931345.738,C_2015_Schulen_PrSt.46,idb1051661-6cd3-4af7-bc42-0e99c4b4623d,85,5119,Westerschule Finkenwerder,20006,Finkenwerder Landscheideweg,180,21129,Hamburg,Westerschule-Finkenwerder@bsb.hamburg.de,http://www.westerschule.hamburg.de,557210.506,5931345.738,staatl.,G,G,GTS ohne Träger,,3,PrSt,254,39,215,0,0,
568912.07,5932348.677,C_2015_Schulen_PrSt.47,id4ebafdb0-dae7-42e4-b18d-ba28ff379e40,86,5121,Schule Marckmannstraße,14003,Marckmannstraße,60,20539,Hamburg,Schule-Marckmannstrasse@bsb.hamburg.de,http://www.schule-marckmannstrasse.de/,568912.07,5932348.677,staatl.,SO,SO,GTS ohne Träger,,-1,PrSt,95,0,36,46,13,
565115.419,5938237.514,C_2015_Schulen_PrSt.48,id9950aebf-5ae5-4bec-9a4b-63bbd2f8a269,87,5124,Grundschule St. Nikolai,45008,Robert-Koch-Straße,15,20249,Hamburg,grundschule-st-nikolai@bsb.hamburg.de,http://www.stnikolaischule.de,565115.419,5938237.514,staatl.,G,G,GTS ohne Träger,,6,PrSt,301,36,265,0,0,1
568085.653,5937227.247,C_2015_Schulen_PrSt.49,idb1d7df4f-4e3c-4ffb-a36a-5c72fdbbc9ed,88,5127,Goldbek-Schule,51006,Imstedt,18,22083,Hamburg,goldbek-schule@bsb.hamburg.de,http://www.goldbek-schule.hamburg.de,568085.653,5937227.247,staatl.,G,G,GTS ohne Träger,,4,PrSt,236,31,205,0,0,
571692.447,5934174.985,C_2015_Schulen_PrSt.50,id897fb9a6-69a9-483b-87d5-eee55fa6c1d6,89,5130,Schule Beim Pachthof,11007,Beim Pachthof,15,22111,Hamburg,schule-beim-pachthof@bsb.hamburg.de,http://www.schule-beim-pachthof.de,571692.447,5934174.985,staatl.,G,G,GBS (immer mit Träger),,1,PrSt,299,46,253,0,0,
568918.209,5932379.65799999982,C_2015_Schulen_PrSt.51,idbbaeab2c-2246-4894-9486-dcb11d981f26,90,5134,Fritz-Köhne-Schule,14003,Marckmannstraße,61,20539,Hamburg,fritz-koehne-schule@bsb.hamburg.de,http://www.fritz-koehne-schule.de,568918.209,5932379.658,staatl.,G,G,GTS ohne Träger,,1,PrSt,257,29,228,0,0,
573962.973,5943859.77199999988,C_2015_Schulen_PrSt.52,id211ba1f8-d0a2-4083-8460-641e8f9e3410,91,5136,Grundschule Hasenweg,66009,Hasenweg,40,22393,Hamburg,grundschule-hasenweg@bsb.hamburg.de,http://www.grundschule-hasenweg.de,573962.973,5943859.772,staatl.,G,G,GBS (immer mit Träger),,5,PrSt,356,58,298,0,0,
563107.912,5935444.19099999964,C_2015_Schulen_PrSt.53,idefb0c7dc-9346-450b-9d6f-8afdb60e0f86,92,5137,Grundschule Arnkielstraße,23006,Arnkielstraße,2,22769,Hamburg,grundschule-arnkielstrasse@bsb.hamburg.de,http://www.schule-arnkielstrasse.de,563107.912,5935444.191,staatl.,G,G,GTS ohne Träger,,1,PrSt,344,32,312,0,0,
569985.458,5933864.881,C_2015_Schulen_PrSt.54,id91f5b5a3-1a76-4632-904a-b55f1440f626,93,5139,Grundschule Osterbrook,10002,Osterbrook,17,20537,Hamburg,grundschule-osterbrook@bsb.hamburg.de,http://www.schule-osterbrook.de,569985.458,5933864.881,staatl.,G,G,GTS ohne Träger,,1,PrSt,228,35,193,0,0,
571397.476,5946124.842,C_2015_Schulen_PrSt.55,id71cb5485-2fc9-4c01-8b27-80d7363edf25,94,5143,Grundschule Poppenbüttel,67009,Schulbergredder,21,22399,Hamburg,grundschule-poppenbuettel@bsb.hamburg.de,http://www.grundschule-poppenbuettel.hamburg.de,571397.476,5946124.842,staatl.,G,G,GTS ohne Träger,,5,PrSt,244,37,207,0,0,1
559558.346,5934149.774,C_2015_Schulen_PrSt.56,id9311d3a1-b478-4492-9db7-6ccf84db8b98,95,5145,Elbschule Bildungszentrum Hören und Kommunikation,27008,Holmbrook,20,22605,Hamburg,elbschule@bsb.hamburg.de,http://www.elbschule.hamburg.de,559558.346,5934149.774,staatl.,SO,SO,GTS ohne Träger,,-1,PrSt,209,4,74,131,0,
554942.028,5935637.575,C_2015_Schulen_PrSt.57,id7e8d1877-52e1-4fbe-963f-3ebadf9dab6c,96,5158,Elbkinder Grundschule,32005,Grotefendweg,20,22589,Hamburg,elbkinder-grundschule@bsb.hamburg.de,http://www.elbkinder-grundschule.de,554942.028,5935637.575,staatl.,G,G,GBS (immer mit Träger),,6,PrSt,305,36,269,0,0,
575001.894,5932305.813,C_2015_Schulen_PrSt.58,id7e5a30d4-630c-4d6d-8517-8fbd8c8a7da4,97,5160,Schule An der Glinder Au,12020,Sonnenland,27,22115,Hamburg,schule-an-der-glinder-au@bsb.hamburg.de,http://www.schule-an-der-glinder-au.hamburg.de,575001.894,5932305.813,staatl.,G,G,GTS ohne Träger,,1,PrSt,241,47,194,0,0,
563816.505,5935506.689,C_2015_Schulen_PrSt.59,id66b6112b-c991-4c6a-a4c1-33cfe3673a3f,98,5167,Ganztagsgrundschule Sternschanze,22002,Ludwigstraße,7,20357,Hamburg,ganztagsgrundschule-sternschanze@bsb.hamburg.de,http://www.schule-sternschanze.de,563816.505,5935506.689,staatl.,G,G,GTS ohne Träger,,2,PrSt,562,52,510,0,0,
572570.279,5934510.132,C_2015_Schulen_PrSt.60,idc3ab553c-7a87-4337-9ec8-01402545a287,99,5169,Schule Speckenreye,11011,Speckenreye,11,22119,Hamburg,schule-speckenreye@bsb.hamburg.de,http://www.schule-speckenreye.hamburg.de,572570.279,5934510.132,staatl.,G,G,GBS (immer mit Träger),,2,PrSt,229,32,197,0,0,
572414.28,5933984.46899999958,C_2015_Schulen_PrSt.61,id714e577a-8f83-4706-970e-c5e5a00a4349,100,5171,Schule Stengelestraße,11012,Hermannstal,82,22111,Hamburg,schule-stengelestrasse@bsb.hamburg.de,http://www.schule-stengelestrasse.de,572414.28,5933984.469,staatl.,G,G,GBS (immer mit Träger),,1,PrSt,406,37,369,0,0,
574179.943,5932641.21399999969,C_2015_Schulen_PrSt.62,id34513389-3361-4485-8896-327adbe417bf,101,5172,Schule am Schleemer Park,12019,Oberschleems,9,22117,Hamburg,schule-am-schleemer-park@bsb.hamburg.de,http://www.schuleamschleemerpark.hamburg.de,574179.943,5932641.214,staatl.,G,G,GBS (immer mit Träger),,1,PrSt,455,54,383,18,0,
573705.362,5935148.20299999975,C_2015_Schulen_PrSt.63,id641e19ea-0fc6-4287-b492-385cfe4bd0f5,102,5173,Schule Sterntalerstraße,12001,Sterntalerstraße,42,22119,Hamburg,schule-sterntalerstrasse@bsb.hamburg.de,http://schule-sterntalerstrasse.hamburg.de,573705.362,5935148.203,staatl.,G,G,GBS (immer mit Träger),,1,PrSt,214,35,179,0,0,
575322.602,5933498.69,C_2015_Schulen_PrSt.64,idf9788e27-11c4-4a03-b26f-4b69070e576a,103,5174,Schule Bonhoefferstraße,12010,Bonhoefferstraße,13,22117,Hamburg,schule-bonhoefferstrasse@bsb.hamburg.de,http://www.schulebonhoefferstrasse.de,575322.602,5933498.69,staatl.,G,G,GBS (immer mit Träger),,3,PrSt,232,40,192,0,0,
574285.133,5935324.955,C_2015_Schulen_PrSt.65,id33338206-d4ae-4e17-9b97-d32065054f0f,104,5175,Schule Fuchsbergredder,12003,Dringsheide,10,22119,Hamburg,Schule-Fuchsbergredder@bsb.hamburg.de,http://www.fuchsbergredder.de,574285.133,5935324.955,staatl.,G,G,GTS ohne Träger,,3,PrSt,243,43,200,0,0,
561397.126,5934806.15799999982,C_2015_Schulen_PrSt.66,id35023b48-0783-40c3-a8b9-13f9dc9102e0,105,5202,Schule Bahrenfelder Straße,24003,Gaußstraße,171,22765,Hamburg,schule-bahrenfelder-strasse@bsb.hamburg.de,http://www.schule-bahrenfelder-strasse.hamburg.de,561397.126,5934806.158,staatl.,G,G,GBS (immer mit Träger),,4,PrSt,363,39,324,0,0,
571546.208,5940222.80399999954,C_2015_Schulen_PrSt.67,id630bdc84-8c05-4b9c-ae22-68e69da3d00c,106,5205,Grundschule Bramfeld,63017,Bramfelder Dorfplatz,5,22179,Hamburg,grundschule-bramfeld@bsb.hamburg.de,http://www.grundschule-bramfeld.de,571546.208,5940222.804,staatl.,G,G,GTS ohne Träger,,3,PrSt,336,31,305,0,0,
