X,Y,gml_id,Name,Schul_ID,Schulform,Schulicon,Adresse,Ort,bezirk,stadtteil,Telefon,FAX,rechtsform,internet,email,is_rebbz,name_rebbz,schueleranzahl,schueleranzahl_schuljahr
9.891806,53.461205,APP_HH_SCHULEN_DWH_63097,Rudolf-Steiner-Schule Harburg,8114-0,Stadtteilschulen,Stadtteilschulen,Ehestorfer Heuweg 82,21149 Hamburg,Harburg,Hausbruch,+49 40 797 18 10,+49 40 797 18 20,staatlich anerkannte Ersatzschule,,mail@rudolfsteinerschule-harburg.de,false,"<a href=""http://www.frieda-stoppenbrink-schule.de"">ReBBZ Süderelbe</a>",475,2013
9.92206,53.550542,APP_HH_SCHULEN_DWH_63098,Rudolf-Steiner-Schule Altona,8113-0,Stadtteilschulen,Stadtteilschulen,Bleickenallee 1,22763 Hamburg,Altona,Ottensen,+49 40 4 10 09-93,+49 40 4 10 09-950,staatlich anerkannte Ersatzschule,http://www.waldorfschule-altona.de/,mail@waldorfschule-altona.de,false,ReBBZ Altona,418,2013
10.135859,53.67631,APP_HH_SCHULEN_DWH_63099,Rudolf-Steiner-Schule Bergstedt,8112-0,Stadtteilschulen,Stadtteilschulen,Bergstedter Chaussee 207,22395 Hamburg,Wandsbek,Bergstedt,645 08 20,,staatlich anerkannte Ersatzschule,http://www.steinerschule-bergstedt.de,info@steinerschule-bergstedt.de,false,"<a href=""http://www.hamburg.de/rebbz-wandsbek-nord-beratung/"">ReBBZ Wandsbek-Nord</a>",493,2013
10.063474,53.569665,APP_HH_SCHULEN_DWH_63100,Friedrich-Robbe-Institut,8106-0,Sonderschulen,Sonderschulen,Bärenallee 15,22041 Hamburg,Wandsbek,Marienthal,+49 40 68 44 55,+49 40 6 52 87 62,staatlich genehmigte Ersatzschule,http://www.friedrich-robbe-institut.de,mail@robbe-institut.de,false,"<a href=""http://www.hamburg.de/rebbz-wandsbek-sued-beratung/"">ReBBZ Wandsbek-Süd</a>",95,2013
9.855736,53.54903,APP_HH_SCHULEN_DWH_63101,Rudolf-Steiner-Schule Nienstedten,8102-0,Stadtteilschulen,Stadtteilschulen,Elbchaussee 366,22609 Hamburg,Altona,Nienstedten,+49 40 8 22 40-00,+49 40 8 22 40-024,staatlich anerkannte Ersatzschule,http://www.waldorfschule-nienstedten.de,mail@waldorfschule-nienstedten.de,false,ReBBZ Altona-West,520,2013
10.127177,53.602827,APP_HH_SCHULEN_DWH_63102,Rudolf-Steiner-Schule Wandsbek,8101-0,Stadtteilschulen,Stadtteilschulen,Rahlstedter Weg 60,22159 Hamburg,Wandsbek,Farmsen-Berne,+49 40 64 58 95-0,+49 40 64 58 95-20,staatlich anerkannte Ersatzschule,http://www.waldorfschule-wandsbek.de/,schule@waldorfschule-wandsbek.de,false,"<a href=""http://www.hamburg.de/rebbz-wandsbek-sued-beratung/"">ReBBZ Wandsbek-Süd</a>",949,2013
10.201115,53.48309,APP_HH_SCHULEN_DWH_63103,August-Hermann-Francke-Schule Bergedorf,8016-0,Grundschulen,Grundschulen,Glasbläserhöfe 2,21035 Hamburg,Bergedorf,Bergedorf,+49 40 64664802,,staatlich genehmigte Ersatzschule,http://ahfs-hamburg.de/cms/bergedorf/,info@ahfs-hamburg.de,false,ReBBZ Bergedorf,,
10.133737,53.628815,APP_HH_SCHULEN_DWH_63104,August-Hermann-Francke-Schule Berne,8015-0,Grundschulen,Grundschulen,Berner Allee 20a,22159 Hamburg,Wandsbek,Farmsen-Berne,+49 40 64 42 82-42,,staatlich genehmigte Ersatzschule,https://ahfs.de/,info@ahfs-hamburg.de,false,"<a href=""http://www.hamburg.de/rebbz-wandsbek-sued-beratung/"">ReBBZ Wandsbek-Süd</a>",114,2013
9.907693,53.561978,APP_HH_SCHULEN_DWH_63105,August-Hermann-Francke-Schule Bahrenfeld,8014-0,Grundschulen,Grundschulen,Händelstraße 11,22761 Hamburg,Altona,Bahrenfeld,+49 40 88 16 81-85,,staatlich genehmigte Ersatzschule,https://ahfs.de/,info@ahfs-hamburg.de,false,ReBBZ Altona,77,2013
9.95847,53.604126,APP_HH_SCHULEN_DWH_63106,Lycée Français de Hambourg 'Antoine de St. Exupéry' (Grundschule),8013-0,Grundschulen,mehrere Schulen,Hartsprung 23,22529 Hamburg,Eimsbüttel,Lokstedt,+49 40 79 01 47-0,,staatlich genehmigte Ersatzschule,,info@lfh.de,false,ReBBZ Eimsbüttel,354,2013
10.028935,53.573275,APP_HH_SCHULEN_DWH_63107,August-Hermann-Francke-Schule Uhlenhorst,8012-0,Stadtteilschulen,Stadtteilschulen,Bachstraße 13-15,22083 Hamburg,Hamburg-Nord,Barmbek-Süd,+49 40 28 00 27-81,,staatlich anerkannte Ersatzschule,,info@ahfs-hamburg.de,false,"<a href=""http://www.hamburg.de/rebbz-winterhude"">ReBBZ Winterhude</a>",324,2013
9.946319,53.583153,APP_HH_SCHULEN_DWH_63108,Schule der Islamischen Republik Iran,8011-0,Grundschulen,Grundschulen,Steenwisch 101,22527 Hamburg,Eimsbüttel,Stellingen,040/98266982,,sonstige Ergänzungsschule,http://irisbs.ir,momeni_m20@yahoo.com,false,ReBBZ Eimsbüttel,,
9.985101,53.51384,APP_HH_SCHULEN_DWH_63109,Freie Schule Hamburg e.V.,8010-0,Grundschulen,Grundschulen,Am Veringhof 9,21107 Hamburg,Hamburg-Mitte,Wilhelmsburg,+49 40 3 19 76 - 983,,eingetragene Ergänzungsschule,http://www.freie-schule-hamburg.de,Freie-Schule-Hamburg@gmx.de,false,ReBBZ Wilhelmsburg,,
10.114135,53.614922,APP_HH_SCHULEN_DWH_63110,August-Hermann-Francke-Schule Farmsen,8008-0,Grundschulen,Grundschulen,August-Krogmann-Straße 115,22159 Hamburg,Wandsbek,Farmsen-Berne,+49 40 64 55 22 82,+49 40 64 55 22-87,staatlich genehmigte Ersatzschule,http://www.ahfs-hamburg.de,info@ahfs-hamburg.de,false,"<a href=""http://www.hamburg.de/rebbz-wandsbek-sued-beratung/"">ReBBZ Wandsbek-Süd</a>",104,2013
9.983732,53.568639,APP_HH_SCHULEN_DWH_63111,Joseph-Carlebach-Schule (Stadtteilschule),8007-0,Stadtteilschulen,mehrere Schulen,Grindelhof 30,20146 Hamburg,Eimsbüttel,Rotherbaum,+49 40 44 09 44 11,+49 40 44 09 44 12,staatlich anerkannte Ersatzschule,http://www.jcsh.de,info@jcsh.de,false,ReBBZ Eimsbüttel,33,2013
9.983732,53.568639,APP_HH_SCHULEN_DWH_63112,Joseph-Carlebach-Schule (Grundschule),8004-0,Grundschulen,mehrere Schulen,Grindelhof 30,20146 Hamburg,Eimsbüttel,Rotherbaum,+49 40 44 09 44 11,+49 40 44 09 44 12,staatlich genehmigte Ersatzschule,http://www.jcsh.de,info@jcsh.de,false,ReBBZ Eimsbüttel,79,2013
9.95847,53.604126,APP_HH_SCHULEN_DWH_63113,Lycée Français de Hambourg 'Antoine de St. Exupéry' (Gymnasium),8003-0,Gymnasien,mehrere Schulen,Hartsprung 23,22529 Hamburg,Eimsbüttel,Lokstedt,+49 40 79 01 47-0,+49 40 79 01 47-56,staatlich genehmigte Ersatzschule,http://www.lfh.de,info@lfh.de,false,ReBBZ Eimsbüttel,339,2013
9.86099,53.565442,APP_HH_SCHULEN_DWH_63114,Internationale Schule,8001-0,Stadtteilschulen,Stadtteilschulen,Hemmingstedter Weg 130,22609 Hamburg,Altona,Osdorf,+49 40 800 05-00,,anerkannte Ergänzungsschule,http://www.ishamburg.org,info@ishamburg.org,false,ReBBZ Altona-West,,
10.024711,53.546614,APP_HH_SCHULEN_DWH_63115,Hamburger private Berufsfachschule für sozialpädagogische Assistenz,7927-0,Berufliche Schulen,mehrere Schulen,Wendenstraße 4,20097 Hamburg,Hamburg-Mitte,Hammerbrook,+49 40 309 786-22,,staatlich genehmigte Ersatzschule,http://www.eso.de/hamburg,info@hfs.hamburg.eso.de,false,ohne ReBBZ,45,2013
10.027686,53.603992,APP_HH_SCHULEN_DWH_63116,TechnikerFachschulen gGmbH Fachschule für Technik,7926-0,Berufliche Schulen,Berufliche Schulen,Kapstadtring 10,22297 Hamburg,Hamburg-Nord,Winterhude,+49 40 6378 4350,,staatlich genehmigte Ersatzschule,,techniker@t-a-nord.de,false,ohne ReBBZ,28,2013
9.937833,53.572388,APP_HH_SCHULEN_DWH_63117,Senator Berufsschule für Pflege (Gesundheits- und Pflegeassistenz),7925-0,Berufliche Schulen,mehrere Schulen,Haferweg 38,22769 Hamburg,Eimsbüttel,Stellingen,+49 40 4 68 99 89-0,+49 40 4 68 99 89-49,staatlich genehmigte Ersatzschule,http://www.senator-berufsschule.de,hamburg@senator-berufsschule.de,false,ohne ReBBZ,31,2013
10.033724,53.58758,APP_HH_SCHULEN_DWH_63118,OKO Private School Talent-Schule Hamburg,7924-0,Gymnasien,mehrere Schulen,Saarlandstraße 30,22303 Hamburg,Hamburg-Nord,Barmbek-Nord,+49 40 53283260,,staatlich genehmigte Ersatzschule,http://www.talent-schule.com,info@talent-schule.com,false,"<a href=""http://www.hamburg.de/rebbz-winterhude"">ReBBZ Winterhude</a>",81,2013
10.024711,53.546614,APP_HH_SCHULEN_DWH_63119,Hamburger private Fachschule für Sozialpädagogik,7923-0,Berufliche Schulen,mehrere Schulen,Wendenstraße 4,20097 Hamburg,Hamburg-Mitte,Hammerbrook,+49 40 309 78622,,staatlich genehmigte Ersatzschule,http://www.hamburg.eso-berufsausbildung.de,info@hfs.hamburg.eso.de,false,ohne ReBBZ,58,2013
9.978597,53.605878,APP_HH_SCHULEN_DWH_63120,Moderne Schule Hamburg (Gymnasium),7921-0,Gymnasien,mehrere Schulen,Brödermannsweg 17,22453 Hamburg,Hamburg-Nord,Groß Borstel,67381670,,staatlich genehmigte Ersatzschule,,info@moderne-schule-hamburg.de,false,"<a href=""http://www.hamburg.de/rebbz-nord-beratung/"">ReBBZ Nord</a>",41,2013
9.978597,53.605878,APP_HH_SCHULEN_DWH_63121,Moderne Schule Hamburg (Grundschule),7920-0,Grundschulen,mehrere Schulen,Brödermannsweg 17,22453 Hamburg,Hamburg-Nord,Groß Borstel,67381670,,staatlich genehmigte Ersatzschule,,info@moderne-schule-hamburg.de,false,"<a href=""http://www.hamburg.de/rebbz-nord-beratung/"">ReBBZ Nord</a>",84,2013
10.022322,53.546446,APP_HH_SCHULEN_DWH_63122,Grone Altenpflegeschule Hamburg,7919-0,Berufliche Schulen,Berufliche Schulen,Heinrich-Grone-Stieg 1,20097 Hamburg,Hamburg-Mitte,Hammerbrook,+49 40 237 03-501,+49 40 237 03-500,staatlich genehmigte Ersatzschule,,altenpflege.hamburg@grone.de,false,ohne ReBBZ,,
10.026995,53.547448,APP_HH_SCHULEN_DWH_63123,Bilinguale Grundschule PHORMS Hamburg,7918-0,Grundschulen,mehrere Schulen,Wendenstraße 35-43,20097 Hamburg,Hamburg-Mitte,Hammerbrook,32537050,+40 40 325 370-55,staatlich genehmigte Ersatzschule,http://www.hamburg.phorms.de,hamburg@phorms.de,false,ReBBZ Mitte,157,2013
10.02788,53.618193,APP_HH_SCHULEN_DWH_63124,Zukunftsschule Alsterpalais (Grundschule),7917-0,Grundschulen,mehrere Schulen,Alsterdorfer Straße 523,22337 Hamburg,Hamburg-Nord,Alsterdorf,+49 40 529 85 157,+49 40 529 85 167,staatlich genehmigte Ersatzschule,http://www.flachsland-hamburg.de,primar.alsterpalais@flachsland-hamburg.de,false,"<a href=""http://www.hamburg.de/rebbz-nord-beratung/"">ReBBZ Nord</a>",79,2013
9.967807,53.568248,APP_HH_SCHULEN_DWH_63125,Monaddrei-Schule Hamburg,7916-0,Grundschulen,Grundschulen,Schäferkampsallee 27,20357 Hamburg,Eimsbüttel,Eimsbüttel,+49 40 533 08 37-0,,staatlich genehmigte Ersatzschule,,info@monaddrei.de,false,ReBBZ Eimsbüttel,66,2013
10.04837,53.597044,APP_HH_SCHULEN_DWH_63126,Alsterring Gymnasium,7915-0,Gymnasien,Gymnasien,Wittenkamp 15,22307 Hamburg,Hamburg-Nord,Barmbek-Nord,+49 40 226 223 530,+49 40 226 223 531,staatlich genehmigte Ersatzschule,http://www.alsterring-gymnasium.de,info@alsterring-gymnasium.de,false,"<a href=""http://www.hamburg.de/rebbz-winterhude"">ReBBZ Winterhude</a>",112,2013
10.142543,53.600452,APP_HH_SCHULEN_DWH_63127,Schule für Gesundheitsberufe (SfG) im HSB e.V.,7914-0,Berufliche Schulen,Berufliche Schulen,Scharbeutzer Straße 54,22147 Hamburg,Wandsbek,Rahlstedt,+49 40 253 052-120,,staatlich anerkannte Ersatzschule,http://www.hsb-ev.de,info@hsb-ev.de,false,ohne ReBBZ,41,2013
10.020533,53.612575,APP_HH_SCHULEN_DWH_63128,Evangelische Berufsfachschule für Sozialpädagogische Assistenz Alsterdorf,7913-0,Berufliche Schulen,mehrere Schulen,Sengelmannstraße 49,22297 Hamburg,Hamburg-Nord,Alsterdorf,+49 40 50 77 3267,+49 40 50 77 3807,staatlich genehmigte Ersatzschule,http://www.fsherz.de,fachschule@alsterdorf.de,false,ohne ReBBZ,82,2013
9.932333,53.5551,APP_HH_SCHULEN_DWH_63129,"Bugenhagen-Schule Ottensen, Evangelische Grundschule an der Osterkirche",7911-0,Grundschulen,Grundschulen,Bei der Osterkirche 17,22765 Hamburg,Altona,Ottensen,2 88 02 - 933,,staatlich genehmigte Ersatzschule,,schulbuero@bugi.de,false,ReBBZ Altona,88,2013
10.181005,53.591853,APP_HH_SCHULEN_DWH_63130,Neue Schule Hamburg,7910-0,Stadtteilschulen,Stadtteilschulen,Schimmelreiterweg 11,22149 Hamburg,Wandsbek,Rahlstedt,+49 40 6690 99-45,,staatlich genehmigte Ersatzschule,http://www.infoneue-Schule-Hamburg.org,info@neue-schule-hamburg.org,false,"<a href=""http://www.hamburg.de/rebbz-wandsbek-nord-beratung/"">ReBBZ Wandsbek-Nord</a>",78,2013
9.957594,53.566047,APP_HH_SCHULEN_DWH_63131,Christian-Morgenstern-Schule,7909-0,Stadtteilschulen,Stadtteilschulen,Heinrichstraße 14a,22769 Hamburg,Eimsbüttel,Eimsbüttel,+49 40 41 35 94 44,,staatlich anerkannte Ersatzschule,http://www.christianmorgensternschule.de,mail@innerestadt.de,false,ReBBZ Eimsbüttel,101,2013
9.937833,53.572388,APP_HH_SCHULEN_DWH_63132,Senator Berufsschule für Pflege (Altenpflege),7907-0,Berufliche Schulen,mehrere Schulen,Haferweg 38,22769 Hamburg,Eimsbüttel,Stellingen,+49 40 4 68 99 89-0,+49 40 4 68 99 89-49,staatlich genehmigte Ersatzschule,http://www.senator-berufsschule.de,hamburg@senator-berufsschule.de,false,ohne ReBBZ,145,2013
10.077151,53.650848,APP_HH_SCHULEN_DWH_63133,Altenpflegeschule Hamburg-Alstertal,7905-0,Berufliche Schulen,Berufliche Schulen,Hinsbleek 11,22391 Hamburg,Wandsbek,Poppenbüttel,+49 40 60601-131,+49 40 60601-139,staatlich anerkannte Ersatzschule,,Schule@hzhg.de,false,ohne ReBBZ,168,2013
10.07286,53.574777,APP_HH_SCHULEN_DWH_63134,Schulungszentrum für Altenpflege,7904-0,Berufliche Schulen,Berufliche Schulen,Kattunbleiche 41,22041 Hamburg,Wandsbek,Wandsbek,+49 40 6521010,,staatlich anerkannte Ersatzschule,http://www.sfap.de,leiter@sfap.de,false,ohne ReBBZ,309,2013
10.016932,53.557683,APP_HH_SCHULEN_DWH_63135,Höhere Handelsschule St. Georg (Privatschulpädagogische GmbH),7802-0,Berufliche Schulen,mehrere Schulen,Rostocker Straße 62,20099 Hamburg,Hamburg-Mitte,St. Georg,24 70 87,24 68 69,staatlich anerkannte Ersatzschule,http://www.st-georg-schulen.de,info@st-georg-schulen.de,false,ReBBZ Mitte,58,2013
10.016932,53.557683,APP_HH_SCHULEN_DWH_63136,Stadtteilschule St. Georg,7801-0,Stadtteilschulen,mehrere Schulen,Rostocker Straße 62,20099 Hamburg,Hamburg-Mitte,St. Georg,+49 40 24 70 87,+49 40 24 68 69,staatlich anerkannte Ersatzschule,http://www.st-georg-schulen.de,info@st-georg-schulen.de,false,ReBBZ Mitte,202,2013
10.024711,53.546614,APP_HH_SCHULEN_DWH_63137,Hamburger private Fremdsprachen-und Wirtschaftsschule-Berufsfachschule für kaufmännische Assistenz,7746-0,Berufliche Schulen,mehrere Schulen,Wendenstraße 4,20097 Hamburg,Hamburg-Mitte,Hammerbrook,+49 40 309 786-22,,staatlich genehmigte Ersatzschule,,info@hfs.hamburg.eso.de,false,ohne ReBBZ,10,2013
9.904964,53.58759,APP_HH_SCHULEN_DWH_63138,School of Life Science (Berufsfachschule für biologisch technische Assistenz),7744-0,Berufliche Schulen,Berufliche Schulen,Schnackenburgallee 114,22525 Hamburg,Eimsbüttel,Eidelstedt,+49 40 428832113,+49 40 428832062,staatlich anerkannte Ersatzschule,http://www.uke.uni-hamburg.de/zentrale-dienste/,marotzki@uke.uni-hamburg.de,false,ohne ReBBZ,221,2013
9.969541,53.584657,APP_HH_SCHULEN_DWH_63139,Hamburger Berufsfachschule für Kosmetik GmbH Lore Krüger,7742-0,Berufliche Schulen,Berufliche Schulen,Hoheluftchaussee 108,20253 Hamburg,Hamburg-Nord,Hoheluft-Ost,55 56 54 - 30,55 56 54 - 59,anerkannte Ergänzungsschule,http://die-hbk.de/,info@die-hbk.de,false,ohne ReBBZ,,
9.816697,53.564296,APP_HH_SCHULEN_DWH_63140,Staatl. anerkannte Berufsfachschule f.  med. Kosmetik Leona Langbehn-Pieper,7740-0,Berufliche Schulen,Berufliche Schulen,Witts Allee 12,22587 Hamburg,Altona,Blankenese,+49 40 8 61 49-3,+49 40 8 65 81-4,anerkannte Ergänzungsschule,http://www.medkosmetik.de,info@medkosmetik.de,false,ohne ReBBZ,,
9.919832,53.561975,APP_HH_SCHULEN_DWH_63141,Erika Klütz Schule für Theatertanz und Tanzpädagogik,7739-0,Berufliche Schulen,Berufliche Schulen,Daimlerstraße 71a,22761 Hamburg,Altona,Bahrenfeld,+49 40 47 00 62,,staatlich anerkannte Ersatzschule,,info@kluetzschule.de,false,ohne ReBBZ,72,2013
10.035314,53.56362,APP_HH_SCHULEN_DWH_63142,Lola Rogge Schule,7738-0,Berufliche Schulen,Berufliche Schulen,Landwehr 11/13,22087 Hamburg,Wandsbek,Eilbek,+49 40 44 45 68,+49 40 4 10 33 41,staatlich anerkannte Ersatzschule,http://www.lolaroggeschule.de,info@lolaroggeschule.de,false,ohne ReBBZ,55,2013
10.023911,53.602874,APP_HH_SCHULEN_DWH_63143,Heinze Akademie - Fachschule für Technik,7737-0,Berufliche Schulen,Berufliche Schulen,Überseering 9,22297 Hamburg,Hamburg-Nord,Winterhude,63 90 29-0,63 90 29-29,staatlich anerkannte Ersatzschule,http://www.tf-heinze.de,info@tf-heinze.de,false,ohne ReBBZ,536,2013
10.025238,53.580902,APP_HH_SCHULEN_DWH_63144,Ev. Berufsschule für Pflege des Rauhen Hauses,7726-0,Berufliche Schulen,Berufliche Schulen,Weidestraße 126,22083 Hamburg,Hamburg-Nord,Barmbek-Süd,040/65591-139,040/65591-390,staatlich anerkannte Ersatzschule,http://www.ev-berufsschule-hh.de,berufsschule-altenpflege@rauheshaus.de,false,ohne ReBBZ,,
10.072023,53.553606,APP_HH_SCHULEN_DWH_63145,Evangelische Berufsschule für Altenpflege des Rauhen Hauses,7724-0,Berufliche Schulen,Berufliche Schulen,Beim Rauhen Hause 21,22111 Hamburg,Hamburg-Mitte,Horn,+49 40 6 55 91-1 39,+49 40 6 55 91-3 90,staatlich anerkannte Ersatzschule,,fachschule-altenpflege@rauheshaus.de,false,ohne ReBBZ,214,2013
10.020533,53.612575,APP_HH_SCHULEN_DWH_63146,Fachschule für Heilerziehung der Evangelischen Stiftung Alsterdorf,7721-0,Berufliche Schulen,mehrere Schulen,Sengelmannstraße 49,22297 Hamburg,Hamburg-Nord,Alsterdorf,+49 40 50 77-32 67,+49 40 50 77-38 07,staatlich anerkannte Ersatzschule,http://www.fsherz.de,fachschule@fsherz.de,false,ohne ReBBZ,377,2013
9.930034,53.59822,APP_HH_SCHULEN_DWH_63147,Evangelische Fachschule für Sozialpädagogik Alten Eichen,7720-0,Berufliche Schulen,Berufliche Schulen,Wördemanns Weg 21,22527 Hamburg,Eimsbüttel,Stellingen,+49 40 54 87 16 01,-,staatlich anerkannte Ersatzschule,,info@diakonie-alten-eichen.de,false,ohne ReBBZ,441,2013
10.018222,53.551056,APP_HH_SCHULEN_DWH_63148,Private Grundschule Brecht,7715-0,Grundschulen,mehrere Schulen,Norderstraße 163-165,20097 Hamburg,Hamburg-Mitte,St. Georg,+49 40 21 11 12-0,+49 40 21 11 12-20,staatlich genehmigte Ersatzschule,http://www.brecht-schulen.de,info@brecht-schulen.de,false,ReBBZ Mitte,277,2013
10.018222,53.551056,APP_HH_SCHULEN_DWH_63149,Private Stadtteilschule Brecht,7714-0,Stadtteilschulen,mehrere Schulen,Norderstraße 163-165,20097 Hamburg,Hamburg-Mitte,St. Georg,+49 40 21 11 12-0,+49 40 21 11 12-20,staatlich anerkannte Ersatzschule,http://www.brecht-schulen.de,info@brecht-schulen.de,false,ReBBZ Mitte,260,2013
10.241411,53.480926,APP_HH_SCHULEN_DWH_63150,Montessorischule Hamburg-Bergedorf,7708-0,Grundschulen,Grundschulen,August-Bebel-Straße 196,21029 Hamburg,Bergedorf,Bergedorf,72 10 64 22,+49 40 7210 6427,staatlich genehmigte Ersatzschule,,info@montessorischule-hamburg.de,false,ReBBZ Bergedorf,95,2013
9.861207,53.552353,APP_HH_SCHULEN_DWH_63151,Raphael-Schule,7707-0,Sonderschulen,Sonderschulen,Quellental 25,22609 Hamburg,Altona,Nienstedten,+49 40 8 19 92-640,+49 40 8 19 92-643,staatlich genehmigte Ersatzschule,http://www.raphael-schule-hamburg.de,sekretariat@raphael-schule-hamburg.de,false,ReBBZ Altona-West,124,2013
10.135584,53.675657,APP_HH_SCHULEN_DWH_63152,Christophorus-Schule,7706-0,Sonderschulen,Sonderschulen,Bergstedter Chaussee 205,22395 Hamburg,Wandsbek,Bergstedt,+49 40 60 4428-0,+49 40 60 4428-25,staatlich anerkannte Ersatzschule,http://www.christophorus-hamburg.de,schule@christophorus-hamburg.de,false,"<a href=""http://www.hamburg.de/rebbz-wandsbek-nord-beratung/"">ReBBZ Wandsbek-Nord</a>",175,2013
10.018222,53.551056,APP_HH_SCHULEN_DWH_63153,Private Höhere Handelsschule Brecht,7704-0,Berufliche Schulen,mehrere Schulen,Norderstraße 163-165,20097 Hamburg,Hamburg-Mitte,St. Georg,+49 40 21 11 12-0,,staatlich anerkannte Ersatzschule,http://www.brecht-schulen.de,info@brecht-schulen.de,false,ReBBZ Mitte,164,2013
10.018222,53.551056,APP_HH_SCHULEN_DWH_63154,Privates Gymnasium Brecht,7703-1,Gymnasien,mehrere Schulen,Norderstraße 163-165,20097 Hamburg,Hamburg-Mitte,St. Georg,+49 40 21 11 12-0,+49 40 21 11 12-0,staatlich anerkannte Ersatzschule,http://www.brecht-schulen.de,info@brecht-schulen.de,false,ReBBZ Mitte,367,2013
10.018222,53.551056,APP_HH_SCHULEN_DWH_63155,Privates Gymnasium Brecht,7703-0,Gymnasien,mehrere Schulen,Norderstraße 163-165,20097 Hamburg,Hamburg-Mitte,St. Georg,+49 40 21 11 12-0,+49 40 21 11 12-0,staatlich anerkannte Ersatzschule,http://www.brecht-schulen.de,info@brecht-schulen.de,false,ReBBZ Mitte,88,2013
