X,Y,fid,gml_id,OBJECTID,C_S_Nr,C_S_Name,C_S_SG,C_S_Str,C_S_HNr,C_S_PLZ,C_S_Ort,C_S_Email,C_S_HomeP,C_S_GEO_X,C_S_GEO_Y,C_S_Status,C_S_SF,C_S_SF_Sta,C_S_GTA,C_S_Traeg,C_S_SI,C_S_SuS,C_S_SuS_ES,C_S_SuS_PS,C_S_SuS_S1,C_S_SuS_S2,C_S_PrSt,Schwerpunkt
567993.87,5941340.93499999959,C_2015_Schulen_SekI.10,idc640a013-1af5-4f4c-992d-4e07d8f173c3,22,3223,Bugenhagen-Schule Alsterdorf (Stadtteilschule),47006,Alsterdorfer Straße,506,22337,Hamburg,schulbuero@bugi.de,http://www.bugi.de,567993.87,5941340.935,privat,STS,STSp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,529,0,0,441,88,,
564499.72,5923648.307,C_2015_Schulen_SekI.11,id856afb60-729b-4792-8a19-441b1d9cd9e0,23,3224,Niels-Stensen-Gymnasium,88006,Barlachstraße,16,21073,Hamburg,Leitung@Niels-Stensen-Gymnasium.kshh.de,http://www.niels-stensen-gymnasium.de,564499.72,5923648.307,privat,GY,GYp,GTS ohne Träger,Katholischer Schulverband Hamburg,4,542,0,0,375,167,,
553487.469,5935111.05599999987,C_2015_Schulen_SekI.12,id89f251d6-08db-44c8-9fa8-548daa6b040c,32,3233,Bugenhagen-Schule im Hessepark (Stadtteilschule),31004,Oesterleystraße,22,22587,Hamburg,schulbuero@bugi.de,,553487.469,5935111.056,privat,STS,STSp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,324,0,0,266,58,,
569290.077,5939697.557,C_2015_Schulen_SekI.13,ida81c0f61-e4a5-4258-846a-697477fc3e59,33,5043,Stadtteilschule Helmuth Hübener,53006,Langenfort,68,22307,Hamburg,stadtteilschule-helmuth-huebener@bsb.hamburg.de,http://www.helmuthhuebener.de,569290.077,5939697.557,staatl.,STS,STS,GTS ohne Träger,,2,1046,0,0,828,218,,
574422.38,5939016.06099999975,C_2015_Schulen_SekI.14,iddfc5ad8d-71b9-4d9a-9b26-2cdd45727f93,34,5046,Gyula Trebitsch Schule Tonndorf,61004,Barenkrug,16,22159,Hamburg,gyula-trebitsch-schule-tonndorf@bsb.hamburg.de,http://www.gyula-trebitsch-schule-tonndorf.de,574422.38,5939016.061,staatl.,STS,STS,GTS ohne Träger,,4,1466,0,0,1202,264,,
575125.637,5947596.994,C_2015_Schulen_SekI.15,id03ee085e-9dd2-4eae-ba4d-46479d9a62cd,35,5048,Stadtteilschule Bergstedt,72004,Volksdorfer Damm,218,22395,Hamburg,Stadtteilschule-Bergstedt@bsb.hamburg.de,http://www.sts-bergstedt.de,575125.637,5947596.994,staatl.,STS,STS,GTS ohne Träger,,5,1019,0,0,769,250,,1
567962.444,5947403.39499999955,C_2015_Schulen_SekI.16,id608c93de-a45f-4987-8352-24e248190e69,36,5049,Stadtteilschule Am Heidberg,56010,Tangstedter Landstraße,300,22417,Hamburg,stadtteilschule-am-heidberg@bsb.hamburg.de,http://www.amheidberg.de,567962.444,5947403.395,staatl.,STS,STS,GTS ohne Träger,,4,921,0,0,782,139,,1
567669.145,5936910.409,C_2015_Schulen_SekI.17,id5601fd66-d9a4-4fbd-a163-71bd7af3eb6c,37,5052,Ilse-Löwenstein-Schule,51014,Humboldtstraße,89,22083,Hamburg,ilse-loewenstein-schule@bsb.hamburg.de,http://ilse-loewenstein-schule.hamburg.de/,567669.145,5936910.409,staatl.,STS,STS,GTS ohne Träger,,4,409,0,0,409,0,,
569254.962,5943153.21899999958,C_2015_Schulen_SekI.18,id9270b197-0ad4-4c4e-b4ba-04cb7292a3ff,38,5053,Albert-Schweitzer-Schule,54001,Schluchtweg,1,22337,Hamburg,Albert-Schweitzer-Schule@bsb.hamburg.de,http://www.albert-schweitzer-schule.hamburg.de,569254.962,5943153.219,staatl.,STS,STS,ohne Ganztagsangebot,,6,714,0,408,306,0,PrSt,
574911.028,5936481.62,C_2015_Schulen_SekI.19,iddb3c56ca-7bba-4565-8bf7-8428326f84d4,39,5054,Max-Schmeling-Stadtteilschule,60010,Oktaviostraße,143,22043,Hamburg,max-schmeling-stadtteilschule@bsb.hamburg.de,http://www.max-schmeling-stadtteilschule.de,574911.028,5936481.62,staatl.,STS,STS,GTS ohne Träger,,2,755,0,0,755,0,,
570827.476,5938162.096,C_2015_Schulen_SekI.20,id9728b179-c5ba-4485-86c5-95193e2f68ef,40,5056,Stadtteilschule Alter Teichweg,52001,Alter Teichweg,200,22049,Hamburg,stadtteilschule-alter-teichweg@bsb.hamburg.de,http://www.gs-atw.de,570827.476,5938162.096,staatl.,STS,STS,GTS ohne Träger,,2,1086,30,197,574,285,PrSt,1
576135.847,5931832.744,C_2015_Schulen_SekI.21,idf0da8499-8327-4690-b447-03e7b04050d5,41,5057,Stadtteilschule Mümmelmannsberg,12022,Mümmelmannsberg,75,22115,Hamburg,stadtteilschule-muemmelmannsberg@bsb.hamburg.de,http://www.stadtteilschule-muemmelmannsberg.de,576135.847,5931832.744,staatl.,STS,STS,GTS ohne Träger,,1,1185,0,0,983,202,,1
578754.856,5927751.989,C_2015_Schulen_SekI.22,id5dae3cb1-94a4-4257-9125-36c7d54f74d3,44,5061,Stadtteilschule Bergedorf,75016,Ladenbeker Weg,13,21033,Hamburg,info@sts-bergedorf.de,http://www.sts-bergedorf.de/,578754.856,5927751.989,staatl.,STS,STS,GTS ohne Träger,,4,1438,0,0,1026,412,,1
566882.026,5938712.58899999969,C_2015_Schulen_SekI.23,idae0ef48a-3602-4d31-94e9-f1d89330f1d4,45,5062,Heinrich-Hertz-Schule,48011,Grasweg,72,22303,Hamburg,heinrich-hertz-schule@bsb.hamburg.de,http://www.heinrich-hertz-schule-hamburg.de,566882.026,5938712.589,staatl.,STS,STS,GTS ohne Träger,,4,1379,0,0,1020,359,,1
571056.428,5934728.449,C_2015_Schulen_SekI.24,id153850d2-1072-4f2d-8b43-8c6e7adbfe96,46,5063,Stadtteilschule Horn,11005,Horner Weg,89,22111,Hamburg,stadtteilschule-horn@bsb.hamburg.de,http://www.stshorn.hamburg.de,571056.428,5934728.449,staatl.,STS,STS,GTS-Übergang,,2,1187,0,0,929,258,,
574093.278,5941160.456,C_2015_Schulen_SekI.25,iddaaeed82-9998-46a3-801f-cc6827252579,47,5064,Erich Kästner Schule,62006,An der Berner Au,12,22159,Hamburg,erich-kaestner-schule@bsb.hamburg.de,http://www.erich-kaestner-hamburg-schule.de,574093.278,5941160.456,staatl.,STS,STS,GTS ohne Träger,,3,1431,46,247,882,256,PrSt,1
567543.923,5945782.75499999989,C_2015_Schulen_SekI.26,idea6959af-c4af-43ca-99be-b378d1ba6af4,48,5065,Fritz-Schumacher-Schule,56017,Foorthkamp,42,22417,Hamburg,fritz-schumacher-schule@bsb.hamburg.de,http://www.fss-hh.de/,567543.923,5945782.755,staatl.,STS,STS,GTS ohne Träger,,4,999,0,0,727,272,,
556629.159,5938405.712,C_2015_Schulen_SekI.27,id20eb0f14-ab0e-4cf4-a825-be35939ca585,49,5066,Geschwister-Scholl-Stadtteilschule,28014,Böttcherkamp,181,22549,Hamburg,geschwister-scholl-stadtteilschule@bsb.hamburg.de,http://www.gsst.hamburg.de,556629.159,5938405.712,staatl.,STS,STS,GTS ohne Träger,,1,566,0,0,418,148,,1
559770.494,5942180.472,C_2015_Schulen_SekI.28,id6550af5f-9abc-4f53-9148-b5e341cb97a1,50,5067,Julius-Leber-Schule,41010,Halstenbeker Straße,41,22457,Hamburg,Julius-Leber-Schule@bsb.hamburg.de,http://www.hh.schule.de/julius-leber-schule/,559770.494,5942180.472,staatl.,STS,STS,GTS ohne Träger,,4,1669,0,0,1199,470,,1
572956.258,5944026.865,C_2015_Schulen_SekI.29,ide2e869ed-2f6f-471c-8b21-4bdac02cb349,51,5069,Irena-Sendler-Schule,65006,Am Pfeilshof,20,22393,Hamburg,irena-sendler-stadtteilschule@bsb.hamburg.de,http://www.irena-sendler-schule.hamburg.de,572956.258,5944026.865,staatl.,STS,STS,GTS ohne Träger,,4,1090,0,0,786,304,,
564663.053,5923903.71,C_2015_Schulen_SekI.30,id0b9d8d95-ad2b-4f28-906b-7f16be1fd027,52,5070,Goethe-Schule-Harburg,88004,Bunatwiete,20,21073,Hamburg,goethe-schule-harburg@bsb.hamburg.de,http://www.goethe-schule-harburg.de,564663.053,5923903.71,staatl.,STS,STS,GTS ohne Träger,,4,1693,0,0,1183,510,,
564473.407,5936595.463,C_2015_Schulen_SekI.31,id760ff8c0-e674-4036-8f97-b383373f7d39,53,5071,Ida Ehre Schule,37005,Lehmweg,14,20144,Hamburg,ida-ehre-schule@bsb.hamburg.de,http://www.idaehreschule.de,564473.407,5936595.463,staatl.,STS,STS,GTS ohne Träger,,3,1258,0,0,890,368,,1
567263.985,5927611.387,C_2015_Schulen_SekI.32,id18acb3ef-6e42-440c-98a7-97fe9a5a0239,54,5072,Nelson-Mandela-Schule im Stadtteil Kirchdorf,16022,Neuenfelder Straße,106,21109,Hamburg,nelson-mandela-schule@bsb.hamburg.de,http://www.nms-kirchdorf.de,567263.985,5927611.387,staatl.,STS,STS,GTS ohne Träger,,1,1100,0,0,779,321,,
570287.622,5941488.54899999965,C_2015_Schulen_SekI.33,id05570142-0b39-4a14-b209-0390c1bcb560,56,5075,Schule am See,64001,Gropiusring,43,22309,Hamburg,schule-am-see@bsb.hamburg.de,http://www.schuleamsee-hamburg.de,570287.622,5941488.549,staatl.,STS,STS,GTS ohne Träger,,2,474,18,179,277,0,PrSt,
561070.868,5935085.49,C_2015_Schulen_SekI.34,id5e34cb29-97f4-4942-9cc2-727c3361323f,57,5076,Max-Brauer-Schule,25017,Daimlerstraße,40,22761,Hamburg,max-brauer-schule@bsb.hamburg.de,http://www.max-brauer-schule.de,561070.868,5935085.49,staatl.,STS,STS,GTS ohne Träger,,5,1461,19,270,882,290,PrSt,
554463.974,5935305.017,C_2015_Schulen_SekI.35,idbd0bdea1-ea71-42aa-9054-1e7630d705ac,58,5077,Stadtteilschule Blankenese,31005,Frahmstraße,15,22587,Hamburg,stadtteilschule-blankenese@bsb.hamburg.de,http://www.stadtteilschule-blankenese.de,554463.974,5935305.017,staatl.,STS,STS,GTS-Übergang,,5,1102,0,0,744,358,,1
571486.2,5946000.156,C_2015_Schulen_SekI.36,id50805343-59f7-47f6-9190-777163c9a509,59,5079,Stadtteilschule Poppenbüttel,67009,Poppenbüttler Stieg,7,22399,Hamburg,stadtteilschule-poppenbuettel@bsb.hamburg.de,http://www.stadtteilschule-poppenbuettel.hamburg.de,571486.2,5946000.156,staatl.,STS,STS,GTS ohne Träger,,5,877,0,0,650,227,,1
558061.449,5931825.58899999969,C_2015_Schulen_SekI.37,id7db5aaf4-9f1f-47b2-89d7-24f69c3a6b10,60,5080,Stadtteilschule Finkenwerder,20007,Norderschulweg,14,21129,Hamburg,stadtteilschule-finkenwerder@bsb.hamburg.de,http://www.sts-finkenwerder.de,558061.449,5931825.589,staatl.,STS,STS,GTS ohne Träger,,3,616,0,0,495,121,,1
560157.475,5935860.69799999986,C_2015_Schulen_SekI.38,id7ff56325-bdea-457a-b130-6845da4adff3,61,5081,Stadtteilschule Bahrenfeld,25012,Regerstraße,21,22761,Hamburg,stadtteilschule-bahrenfeld@bsb.hamburg.de,http://www.stadtteilschule-bahrenfeld.de,560157.475,5935860.698,staatl.,STS,STS,GTS ohne Träger,,3,907,0,0,728,179,,1
558784.43,5940838.712,C_2015_Schulen_SekI.39,id3405ffda-8514-4379-82bc-fea90bef484f,62,5083,Stadtteilschule Eidelstedt,42010,Niekampsweg,25,22523,Hamburg,stadtteilschule-eidelstedt@bsb.hamburg.de,http://www.stadtteilschule-eidelstedt.de,558784.43,5940838.712,staatl.,STS,STS,GTS ohne Träger,,2,1052,0,0,833,219,,
577343.417,5927066.552,C_2015_Schulen_SekI.40,id329d829b-58aa-4c97-99b8-ce3e0e3c885f,63,5084,Gretel-Bergmann-Schule,107007,Von-Moltke-Bogen,40,21035,Hamburg,gretel-bergmann-schule@bsb.hamburg.de,http://www.gretel-bergmann-schule.de,577343.417,5927066.552,staatl.,STS,STS,GTS ohne Träger,,2,1169,0,0,944,225,,1
577560.734,5945611.886,C_2015_Schulen_SekI.41,idcdff5f5a-5aef-4739-81f8-69396ee06ea9,64,5085,Stadtteilschule Walddörfer,73007,Vörn Barkholt,6,22359,Hamburg,stadtteilschule-walddoerfer@bsb.hamburg.de,http://www.stadtteilschule-walddoerfer.de/,577560.734,5945611.886,staatl.,STS,STS,GTS ohne Träger,,5,1255,0,0,896,359,,1
579887.992,5919656.80399999954,C_2015_Schulen_SekI.42,id5c43868c-4f3a-4574-85dd-36e742e5346c,65,5087,Stadtteilschule Kirchwerder,80002,Kirchwerder Hausdeich,341,21037,Hamburg,stadtteilschule-kirchwerder@bsb.hamburg.de,http://www.schule-kirchwerder.hamburg.de,579887.992,5919656.804,staatl.,STS,STS,GBS (immer mit Träger),,4,1077,20,111,781,165,PrSt,
567981.224,5938061.305,C_2015_Schulen_SekI.43,id2647b0ee-9336-46c3-a6cf-487924a1f926,66,5088,Stadtteilschule Winterhude,48025,Meerweinstraße,26,22303,Hamburg,stadtteilschule-winterhude@bsb.hamburg.de,http://www.sts-winterhude.de,567981.224,5938061.305,staatl.,STS,STS,GTS ohne Träger,,5,1074,26,269,574,205,PrSt,1
574863.311,5933170.94699999969,C_2015_Schulen_SekI.44,id25aad9fa-b21b-47e8-81f7-7b9f168bb505,67,5089,Stadtteilschule Öjendorf,12016,Pergamentweg,1,22117,Hamburg,stadtteilschule-oejendorf@bsb.hamburg.de,http://www.stadtteilschule-oejendorf.de,574863.311,5933170.947,staatl.,STS,STS,GTS ohne Träger,,1,618,0,0,584,34,,
564461.17,5938039.491,C_2015_Schulen_SekI.45,id957c3608-7c6b-4b29-9c5d-b3bff09ce68c,68,5090,Stadtteilschule Eppendorf,44001,Löwenstraße,58,20251,Hamburg,stadtteilschule-eppendorf@bsb.hamburg.de,http://www.gseppendorf.de,564461.17,5938039.491,staatl.,STS,STS,GTS ohne Träger,,4,951,13,180,758,0,PrSt,1
557560.146,5925785.446,C_2015_Schulen_SekI.46,id5a8ce0ca-0e61-45b9-9153-b35571dc80dd,69,5093,Stadtteilschule Süderelbe,101006,Neumoorstück,1,21147,Hamburg,stadtteilschule-suederelbe@bsb.hamburg.de,http://www.stadtteilschule-suederelbe.de,557560.146,5925785.446,staatl.,STS,STS,GTS ohne Träger,,2,850,0,0,748,102,,
580019.72,5929149.87399999984,C_2015_Schulen_SekI.47,id220a38e7-04e7-46b2-9f67-265871a8e5c6,70,5094,Stadtteilschule Lohbrügge,75006,Binnenfeldredder,7,21031,Hamburg,stadtteilschule-lohbruegge@bsb.hamburg.de,http://www.stadtteilschule-lohbruegge.hamburg.de,580019.72,5929149.874,staatl.,STS,STS,GTS ohne Träger,,3,1093,0,0,901,192,,1
565656.761,5928968.768,C_2015_Schulen_SekI.48,id04d427e2-3782-4dc9-9d89-80b0c725de76,71,5095,Stadtteilschule Wilhelmsburg,16013,Perlstieg,1,21107,Hamburg,stadtteilschule-wilhelmsburg@bsb.hamburg.de,http://www.stadtteilschule-wilhelmsburg.hamburg.de,565656.761,5928968.768,staatl.,STS,STS,GTS ohne Träger,,1,1155,51,287,817,0,PrSt,
573059.09,5934721.91399999987,C_2015_Schulen_SekI.49,idded6058f-2fb6-4c69-96e8-ab474af200d2,72,5097,Brüder-Grimm-Schule,11011,Steinadlerweg,26,22119,Hamburg,brueder-grimm-schule@bsb.hamburg.de,http://brueder-grimm.schulhomepages.hamburg.de/,573059.09,5934721.914,staatl.,STS,STS,GTS ohne Träger,,2,905,18,241,646,0,PrSt,
577002.956,5942886.017,C_2015_Schulen_SekI.50,id961ccee6-7f9f-4263-952f-c2a44eb140f4,73,5098,Stadtteilschule Meiendorf,74007,Deepenhorn,1,22145,Hamburg,stadtteilschule-meiendorf@bsb.hamburg.de,http://www.sts-meiendorf.hamburg.de,577002.956,5942886.017,staatl.,STS,STS,GTS ohne Träger,,4,403,0,0,403,0,,
567604.556,5931365.483,C_2015_Schulen_SekI.51,id855ab5d6-086d-476d-a0fc-cf56d64fd41d,74,5099,Schule auf der Veddel,15001,Slomanstieg,1,20539,Hamburg,schule-auf-der-veddel@bsb.hamburg.de,http://www.schule-auf-der-veddel.hamburg.de,567604.556,5931365.483,staatl.,STS,STS,GTS ohne Träger,,1,458,20,208,230,0,PrSt,
568912.07,5932348.677,C_2015_Schulen_SekI.52,id4ebafdb0-dae7-42e4-b18d-ba28ff379e40,86,5121,Schule Marckmannstraße,14003,Marckmannstraße,60,20539,Hamburg,Schule-Marckmannstrasse@bsb.hamburg.de,http://www.schule-marckmannstrasse.de/,568912.07,5932348.677,staatl.,SO,SO,GTS ohne Träger,,-1,95,0,36,46,13,PrSt,
559558.346,5934149.774,C_2015_Schulen_SekI.53,id9311d3a1-b478-4492-9db7-6ccf84db8b98,95,5145,Elbschule Bildungszentrum Hören und Kommunikation,27008,Holmbrook,20,22605,Hamburg,elbschule@bsb.hamburg.de,http://www.elbschule.hamburg.de,559558.346,5934149.774,staatl.,SO,SO,GTS ohne Träger,,-1,209,4,74,131,0,PrSt,
574179.943,5932641.21399999969,C_2015_Schulen_SekI.54,id34513389-3361-4485-8896-327adbe417bf,101,5172,Schule am Schleemer Park,12019,Oberschleems,9,22117,Hamburg,schule-am-schleemer-park@bsb.hamburg.de,http://www.schuleamschleemerpark.hamburg.de,574179.943,5932641.214,staatl.,G,G,GBS (immer mit Träger),,1,455,54,383,18,0,PrSt,
559640.766,5934041.286,C_2015_Schulen_SekI.55,id908c0567-e5c6-4da2-a6dc-54fef2431d1b,116,5219,Schule Hirtenweg,27008,Holmbrook,10,22605,Hamburg,schule-hirtenweg@bsb.hamburg.de,http://www.schule-hirtenweg.hamburg.de,559640.766,5934041.286,staatl.,SO,SO,GTS ohne Träger,,-1,191,0,49,130,12,PrSt,
559555.826,5936430.35699999984,C_2015_Schulen_SekI.56,id9c881a8b-f8b5-40aa-a30a-37dc1bf4b540,129,5245,Schule Kielkamp,25001,Kielkamp,16,22761,Hamburg,schule-kielkamp@bsb.hamburg.de,http://www.schule-kielkamp.Hamburg.de,559555.826,5936430.357,staatl.,SO,SO,GTS ohne Träger,,-1,132,0,48,77,7,PrSt,
562401.068,5936554.915,C_2015_Schulen_SekI.57,id31fd340f-20a6-4240-b2b5-383178b87207,149,5312,Schule Rellinger Straße,35012,Rellinger Straße,13,20257,Hamburg,schule-rellinger-strasse@bsb.hamburg.de,http://www.schule-rellinger-strasse.de,562401.068,5936554.915,staatl.,G,G,GTS ohne Träger,,5,392,26,260,106,0,PrSt,
562925.745,5938173.944,C_2015_Schulen_SekI.58,ida2700807-25fe-4655-a4e3-a0415a7502ab,162,5344,Schule Vizelinstraße,39007,Vizelinstraße,50,22529,Hamburg,schule-vizelinstrasse@bsb.hamburg.de,http://www.schule-vizelinstrasse.hamburg.de,562925.745,5938173.944,staatl.,G,G,GTS ohne Träger,,1,295,34,205,56,0,PrSt,
564296.469,5940259.17899999954,C_2015_Schulen_SekI.59,id960790ba-5557-4561-b2d7-005bc5635629,164,5346,Schule Lokstedter Damm,46004,Lokstedter Damm,38,22453,Hamburg,Schule-Lokstedter-Damm@bsb.hamburg.de,,564296.469,5940259.179,staatl.,SO,SO,GTS ohne Träger,,-1,103,0,29,59,15,PrSt,
563523.216,5934881.00299999956,C_2015_Schulen_SekI.60,id4d9b2db7-74a0-4278-a0ff-1b5aa76a49b9,168,5350,ReBBZ Altona,21002,Sommerhuder Straße,18,22767,Hamburg,rebbz-altona-bildung-bernstorffstrasse@bsb.hamburg.de,,563523.216,5934881.003,staatl.,SO,SO,GTS ohne Träger,,-1,166,3,58,105,0,PrSt,
557052.044,5938519.418,C_2015_Schulen_SekI.61,id61695f1c-633b-4a88-9e62-aa2c543b3048,169,5351,ReBBZ Altona-West,28009,Böttcherkamp,144,22549,Hamburg,rebbz-altona-west-bildung@bsb.hamburg.de,,557052.044,5938519.418,staatl.,SO,SO,GTS ohne Träger,,-1,109,0,13,96,0,PrSt,
580067.619,5928135.805,C_2015_Schulen_SekI.62,idf916e59c-f192-497b-b8b0-68d9d4de3ea0,170,5352,ReBBZ Bergedorf,75015,Billwerder Billdeich,648 a,21031,Hamburg,ReBBZ-bergedorf-bildung-leuschnerstrasse@bsb.hamburg.de,,580067.619,5928135.805,staatl.,SO,SO,GBS (immer mit Träger),,-1,218,12,106,100,0,PrSt,
562615.127,5941987.227,C_2015_Schulen_SekI.63,id3cfb426f-bbe4-44e0-855c-728beaa4fd60,171,5353,ReBBZ Eimsbüttel,40016,Bindfeldweg,37,22459,Hamburg,rebbz-eimsbuettel-bildung-bindfeldweg@bsb.hamburg.de,,562615.127,5941987.227,staatl.,SO,SO,GTS ohne Träger,,-1,93,0,32,61,0,PrSt,
557308.379,5925643.29399999976,C_2015_Schulen_SekI.64,id7725f797-0eda-4d56-9fd1-9a4ffdad119a,172,5354,ReBBZ Süderelbe,101007,Neumoorstück,2,21147,Hamburg,rebbz-suederelbe-bildung@bsb.hamburg.de,http://www.frieda-stoppenbrink-schule.de,557308.379,5925643.294,staatl.,SO,SO,GTS-Übergang,,-1,103,0,2,101,0,PrSt,
564679.619,5923237.97,C_2015_Schulen_SekI.65,id96dc8bf0-787a-466e-84cc-3a66b4ed0bb1,173,5355,ReBBZ Harburg,96005,Kapellenweg,63,21073,Hamburg,rebbz-harburg-bildung-baererstrasse@bsb.hamburg.de,,564679.619,5923237.97,staatl.,SO,SO,GBS (immer mit Träger),,-1,305,10,94,201,0,PrSt,
572969.798,5933673.39599999972,C_2015_Schulen_SekI.66,id6dbf505c-1365-4a24-9272-562c508cbfd1,174,5356,ReBBZ Billstedt,12007,Steinfeldtstraße,1,22119,Hamburg,rebbz-billstedt-bildung@bsb.hamburg.de,,572969.798,5933673.396,staatl.,SO,SO,GTS ohne Träger,,-1,186,0,55,131,0,PrSt,
567217.172,5928532.137,C_2015_Schulen_SekI.67,id31a579fc-790d-43fc-b7a0-69310d2b4df1,175,5357,ReBBZ Wilhelmsburg,16017,Krieterstraße,2 a,21109,Hamburg,rebbz-wilhelmsburg-bildung-krieterstrasse@bsb.hamburg.de,,567217.172,5928532.137,staatl.,SO,SO,GTS ohne Träger,,-1,301,11,131,159,0,PrSt,
569606.81,5934389.795,C_2015_Schulen_SekI.68,id3a4d7516-3b82-4b8d-9db2-ae2708265b69,176,5358,ReBBZ Mitte,9002,Laeiszstraße,12,20537,Hamburg,rebbz-mitte-bildung@bsb.hamburg.de,,569606.81,5934389.795,staatl.,SO,SO,GTS ohne Träger,,-1,154,0,50,104,0,PrSt,
567213.374,5942382.47599999979,C_2015_Schulen_SekI.69,idaea21eef-a0d6-4e59-84ce-a280b7af4e3c,177,5359,ReBBZ Winterhude,55008,Winterhuder Weg,11,22335,Hamburg,rebbz-winterhude-bildung-eschenweg@bsb.hamburg.de,http://www.hamburg.de/rebbz-winterhude,567213.374,5942382.476,staatl.,SO,SO,GBS (immer mit Träger),,-1,154,8,82,64,0,PrSt,
