Schulart,Kreis,Ort,Schul-Nr.,Name,Bezeichnung,Straße,Plz,Ort,Tel-Nr.,Fax-Nr.,E-Mail,Internetadresse,Rechtsstatus,Beteiligung an schularübergreifendergreifender Orient.stufe,Ganztagsschule in,Schüler_insgesamt,weiblich,männlich,Deutsche,Ausländer,zusammen,dar. Deutsche,Elementarstufe,Primarstufe,Sekundarstufe I,Sekundarstufe II,Ober- und Werkstufe,Lehrkräfte Vollzeit,Lehrkräfte Teilzeit,pädagogische Fachkräfte Vollzeit,pädagogische Fachkräfte Teilzeit
Förderschule,"Bad Dürkheim, LK",Altleiningen,30289,Heimschule St. Rafael              ,SFE Altleiningen                   ,Schloßmühle,67317,Altleiningen,	(06356)963670	,	(06356)963625	,	schule.st.rafael@gmx.de	,http://jugendhilfe-st-rafael.de,private Schule,N,verpflichtender Form,60,11,49,60,-,-,-,-,31,29,-,-,8,2,4,10
Förderschule,"Bad Dürkheim, LK",Bad Dürkheim  ,30335,Siegmund-Crämer-Schule             ,SFG Bad Dürkheim                   ,Sägmühle 4,67098,Bad Dürkheim  ,	(06322)938290	,	(06322)938292	,	siegmundcraemerschule@t-online.de	,http://www.scs.bildung-rp.de/,private Schule,N,verpflichtender Form,88,28,60,86,2,4,2,-,-,-,-,88,4,5,7,17
Förderschule,"Bad Dürkheim, LK",Bad Dürkheim  ,31014,Limburgschule                      ,SFL Bad Dürkheim                   ,Friedelsheimerstr. 18,67098,Bad Dürkheim  ,	(06322)947272	,	(06322)947299	,	limburgschule@t-online.de	,http://www.limburgschule.de,öffentliche Schule,N,Angebotsform,66,29,37,61,5,7,2,-,7,59,-,-,12,9,1,-
Förderschule,"Bad Dürkheim, LK",Grünstadt  ,30515,Hans-Zulliger-Schule               ,SFG Grünstadt                      ,Westring 62,67269,Grünstadt  ,	(06359)2777	,	(06359)92217	,	hanszulliger-schule-v@t-online.de	,-,öffentliche Schule,N,verpflichtender Form,38,14,24,34,4,4,-,-,-,-,-,38,2,1,10,3
Förderschule,"Bad Dürkheim, LK",Grünstadt  ,31464,Käthe-Kollwitz-Schule              ,SFL Grünstadt                      ,Jahnstr. 2,67269,Grünstadt  ,	(06359)96840	,	(06359)968415	,	K-Kollwitz-Schule@gmx.de	,http://kks-gruenstadt.de,öffentliche Schule,N,Angebotsform,97,33,64,88,9,22,13,-,22,75,-,-,23,6,1,1
Förderschule,"Bad Dürkheim, LK",Haßloch,31027,Gottlieb-Wenz-Schule               ,SFL Haßloch                        ,Meckenheimer Str. 10,67454,Haßloch,	(06324)2121	,	(06324)82336	,	gottliebwenzschule@t-online.de	,http://www.gottlieb-wenz-schule.bildung-rp.de,öffentliche Schule,N,Angebotsform,72,33,39,68,4,8,4,-,14,58,-,-,10,9,-,-
Förderschule,"Bad Kreuznach, LK",Bad Kreuznach    ,30109,Bethesda Schule                    ,SFM Bad Kreuznach                  ,Waldemarstr. 26,55543,Bad Kreuznach    ,	(0671)6053352	,	(0671)6053552	,	bes@kreuznacherdiakonie.de	,-,private Schule,N,verpflichtender Form,131,52,79,122,9,13,4,-,24,31,-,76,10,12,19,26
Förderschule,"Bad Kreuznach, LK",Bad Kreuznach    ,30649,Schule am Ellerbach                ,SFL Bad Kreuznach                  ,Ellerbachstr. 17,55545,Bad Kreuznach    ,	(0671)2984450	,	(0671)29844528	,	ellerbachschule@t-online.de	,www.ellerbachschule.de,öffentliche Schule,N,verpflichtender Form,174,67,107,168,6,62,56,-,41,133,-,-,25,18,6,-
Förderschule,"Bad Kreuznach, LK",Bad Kreuznach    ,31690,Don-Bosco-Schule                   ,SFG Bad Kreuznach                  ,Ellerbachstr.,55545,Bad Kreuznach    ,	(0671)32211	,	(0671)4832266	,	sfgbadkreuznach@googlemail.com	,http://www.don-bosco-schule.de,öffentliche Schule,N,verpflichtender Form,60,22,38,59,1,13,12,-,-,-,-,60,3,5,7,11
Förderschule,"Bad Kreuznach, LK",Kirn  ,30652,Wilhelm-Dröscher-Schule            ,SFL Kirn                           ,Berliner Platz 1,55606,Kirn  ,	(06752)2046	,	(06752)963228	,	info@wds-kirn.de	,http://wilhelm-droescher-schule.bildung-rp.de,öffentliche Schule,N,Angebotsform,67,25,42,65,2,4,2,-,11,56,-,-,11,6,-,-
Förderschule,"Bad Kreuznach, LK",Meisenheim  ,30082,Bodelschwingh Schule               ,SFGSFM Meisenheim                  ,Talweg 16,55590,Meisenheim  ,	(06753)10298	,	(06753)10299	,	bos-meisenheim@kreuznacherdiakonie.de	,http://www.kreuznacherdiakonie.de/bodels,private Schule,N,verpflichtender Form,70,29,41,64,6,11,5,-,-,-,-,70,3,7,11,14
Förderschule,"Bad Kreuznach, LK",Schloßböckelheim,30665,Burgschule                         ,SFL Schloßböckelheim               ,Schulstr. 2,55596,Schloßböckelheim,	(06758)1345	,	(06758)804350	,	burgschule.s@web.de	,http://burgschule.info,öffentliche Schule,N,Angebotsform,65,19,46,65,-,-,-,-,19,46,-,-,11,10,1,3
Förderschule,"Bernkastel-Wittlich, LK",Bernkastel-Kues  ,30889,Burg-Landshut-Schule               ,SFL Bernkastel-Kues                ,In der Bornwiese,54470,Bernkastel-Kues  ,	(06531)3939	,	(06531)94720	,	schulleitung@bls-bks.de	,http://www.burg-landshut-schule.de,öffentliche Schule,N,Angebotsform,118,44,74,113,5,13,8,-,28,90,-,-,20,4,2,-
Förderschule,"Bernkastel-Wittlich, LK",Bernkastel-Kues  ,31627,Rosenberg-Schule                   ,SFG Bernkastel-Kues                ,Am Rosenberg 32,54470,Bernkastel-Kues  ,	(06531)9719210	,	(06531)9719219	,	info@rosenberg-schule.de	,http://www.Rosenberg-Schule.de,öffentliche Schule,N,verpflichtender Form,95,36,59,91,4,13,9,-,-,-,-,95,6,1,14,16
Förderschule,"Bernkastel-Wittlich, LK",Traben-Trarbach  ,31210,Martin-Luther-King-Schule          ,SFE Traben-Trarbach                ,Maiweg 140,56841,Traben-Trarbach  ,	(06541)816730	,	(06541)816731	,	info@e-schule-mlk.de	,-,private Schule,N,verpflichtender Form,124,8,116,124,-,-,-,-,24,100,-,-,23,4,7,12
Förderschule,"Bernkastel-Wittlich, LK",Wittlich  ,30305,Maria-Grünewald-Schule             ,SFGSFM Wittlich                    ,Franziskusstr.,54516,Wittlich  ,	(06571)695302	,	(06571)695300	,	foerderschule.maria-gruenewald@srcab.de	,http://gruenewaldschule.bildung-rp.de/,private Schule,N,verpflichtender Form,62,22,40,57,5,8,3,-,-,-,-,62,2,2,12,11
Förderschule,"Bernkastel-Wittlich, LK",Wittlich  ,30893,Liesertal-Schule                   ,SFLSFS Wittlich                    ,Petrusstr. 28,54516,Wittlich  ,	(06571)91570	,	(06571)915720	,	Verwaltung@liesertal-schule.de	,http://www.liesertal-schule.bildung-rp.de,öffentliche Schule,N,Angebotsform,122,40,82,114,8,34,26,-,49,73,-,-,19,12,-,4
Förderschule,"Birkenfeld, LK",Birkenfeld  ,30683,Förderschule                       ,SFL Birkenfeld                     ,Brechkaul,55765,Birkenfeld  ,	(06782)2188	,	(06782)988221	,	sfl.bir@gmx.de	,http://www.sfl-birkenfeld.de,öffentliche Schule,N,Angebotsform,79,32,47,78,1,2,1,-,16,63,-,-,14,5,-,-
Förderschule,"Birkenfeld, LK",Idar-Oberstein  ,30395,Peter-Caesar-Schule                ,SFGSFM Idar-Oberstein              ,Auf Weißborr 15,55743,Idar-Oberstein  ,	(06781)27842	,	(06781)450362	,	Peter_Caesar_Schule@hotmail.com	,http://www.Peter-Caesar-Schule.de,öffentliche Schule,N,verpflichtender Form,63,14,49,63,-,7,7,-,-,-,-,63,4,2,9,15
Förderschule,"Birkenfeld, LK",Idar-Oberstein  ,31360,Förderschule                       ,SFL Idar-Oberstein                 ,Auf der Bein 7,55743,Idar-Oberstein  ,	(06784)8915	,	(06784)981289	,	foerderschule.idar-oberstein@t-online.de.de	,-,öffentliche Schule,N,Angebotsform,185,75,110,175,10,18,8,-,40,145,-,-,20,10,1,1
Förderschule,"Birkenfeld, LK",Idar-Oberstein  ,31870,Förderschule                       ,SFS Idar-Oberstein                 ,Auf der Bein 7,55743,Idar-Oberstein  ,	(06784)2372	,	(06784)981289	,	www.sprachheilschule.io@web.de	,http://www.sprachfoerderung-io.de,öffentliche Schule,N,verpflichtender Form,46,10,36,42,4,4,-,-,46,-,-,-,4,-,1,5
Förderschule,"Cochem-Zell, LK",Dohr,30382,Astrid-Lindgren-Schule             ,SFGSFM Dohr                        ,Hauptstr.,56812,Dohr,	02671/987110	,	(02671)987150	,	info@als-dohr.de	,http://www.als-dohr.de,öffentliche Schule,N,verpflichtender Form,52,19,33,48,4,6,2,-,-,-,-,52,5,1,10,9
Förderschule,"Cochem-Zell, LK",Düngenheim,31704,St. Martin-Heimschule              ,SFGSFM Düngenheim                  ,St. Martin-Str. 33,56761,Düngenheim,	(02653)598190	,	(02653)598281	,	foerderschule@stmartin-dku.de	,http://www.foerderschule.stmartin-dku.de,private Schule,N,verpflichtender Form,96,27,69,90,6,9,3,-,-,-,-,96,6,4,17,19
Förderschule,"Cochem-Zell, LK",Kaisersesch,30709,Pommerbachschule                   ,SFL Kaisersesch                    ,Im Haag,56759,Kaisersesch,	(02653)6631	,	(02653)7682	,	buero@pommerbachschule.de	,http://www.pommerbachschule.de,öffentliche Schule,N,-,117,55,62,113,4,11,7,-,22,95,-,-,20,11,2,1
Förderschule,Donnersbergkreis,Kirchheimbolanden  ,31030,Mathilde-Hitzfeld-Schule           ,SFSL Kirchheimbolanden             ,Dannenfelser Str. 29,67292,Kirchheimbolanden  ,	(06352)1262	,	(06352)740235	,	MHS-Kibo@t-online.de	,http://www.mathilde-hitzfeld-schule.de,öffentliche Schule,N,Angebotsform,88,31,57,84,4,5,1,-,25,63,-,-,14,13,3,3
Förderschule,Donnersbergkreis,Kirchheimbolanden  ,31747,Herman-Nohl-Schule                 ,SFE Kirchheimbolanden              ,Schillerhain,67292,Kirchheimbolanden  ,	(06352)408112	,	(06352)408114	,	Herman-Nohl-Schule@evh-pfalz.de	,-,private Schule,N,verpflichtender Form,168,8,160,162,6,9,3,-,27,141,-,-,26,16,1,11
Förderschule,Donnersbergkreis,Rockenhausen  ,31057,Förderschule                       ,SFLGMS Rockenhausen                ,Mühlackerweg 25a,67806,Rockenhausen  ,	(06361)5562	,	(06361)994870	,	SchuleamDonnersberg@web.de	,http://schuleamdonnersberg.de,öffentliche Schule,N,Angebotsform,173,71,102,171,2,13,11,-,20,62,-,91,25,4,15,29
Förderschule,"Eifelkreis Bitburg-Prüm, LK",Bitburg  ,30469,St. Martin-Schule                  ,SFGSFM Bitburg                     ,Kölner Str. 14,54634,Bitburg  ,	(06561)96140	,	(06561)961420	,	info@martin-schule.de	,http://www.martin-schule.de,öffentliche Schule,N,verpflichtender Form,59,23,36,52,7,12,5,-,-,-,-,59,5,2,10,12
Förderschule,"Eifelkreis Bitburg-Prüm, LK",Bitburg  ,31390,Maximin-Schule                     ,SFLSFS Bitburg                     ,Nansenstr. 25,54634,Bitburg  ,	(06561)94478-0	,	(06561)94478-18	,	schule@maximin-schule.de	,http://www.maximin-schule.de,öffentliche Schule,N,Angebotsform,169,61,108,138,31,31,-,-,64,105,-,-,19,9,4,1
Förderschule,"Eifelkreis Bitburg-Prüm, LK",Prüm  ,31927,Astrid-Lindgren-Schule             ,SFLSFGSFS Prüm                     ,Kolpingstr. 30,54595,Prüm  ,	(06551)9516-0	,	(06551)9516-40	,	info@astrid-lindgren-schule-pruem.de	,http://www.astrid-lindgren-schule-pruem.de,öffentliche Schule,N,Angebotsform,112,33,79,99,13,15,2,-,20,59,-,33,15,1,6,8
Förderschule,"Frankenthal (Pfalz), kreisfreie Stadt ",Frankenthal (Pfalz)    ,30019,Augustin-Violet-Schule             ,SFGLS Frankenthal                  ,Holzhofstr. 21,67227,Frankenthal (Pfalz)    ,	(06233)49090	,	(06233)4909200	,	info@pih.bv-pfalz.de	,http://www.pfalzinstitut-frankenthal.de,öffentliche Schule,N,verpflichtender Form,320,134,186,266,54,64,10,-,125,171,-,24,47,30,8,21
Förderschule,"Frankenthal (Pfalz), kreisfreie Stadt ",Frankenthal (Pfalz)    ,30948,Albert-Schweitzer-Schule           ,SFL Frankenthal                    ,Wormser Str. 59,67227,Frankenthal (Pfalz)    ,	(06233)220439	,	06233 220443	,	AlbertSchweitzerSfL@web.de	,http://www.foerderschule-l-frankenthal.bildung-rp.de,öffentliche Schule,N,Angebotsform,133,63,70,126,7,21,14,-,27,106,-,-,15,15,2,1
Förderschule,"Frankenthal (Pfalz), kreisfreie Stadt ",Frankenthal (Pfalz)    ,31644,Tom-Mutters-Schule                 ,SFG Frankenthal                    ,Neumayerring 1,67227,Frankenthal (Pfalz)    ,	(06233)298484	,	(06233)298485	,	sekretariat@tom-mutters-schule.de	,-,öffentliche Schule,N,verpflichtender Form,46,21,25,40,6,17,11,-,-,-,-,46,2,3,8,11
Förderschule,"Frankenthal (Pfalz), kreisfreie Stadt ",Frankenthal (Pfalz)    ,31810,Neumayer-Schule                    ,SFS Frankenthal                    ,Neumayerring 7,67227,Frankenthal (Pfalz)    ,	(06233)21070	,	(06233)239206	,	verwaltung@neumayerschule.de	,http://neumayerschule.de,öffentliche Schule,N,verpflichtender Form,129,32,97,114,15,40,25,-,129,-,-,-,12,5,5,6
Förderschule,"Germersheim, LK",Germersheim  ,31943,Nardini-/Bienwald Schule           ,SFL Germersheim  Kreis             ,Am Römerweg 2a,76726,Germersheim  ,	(07274)3095	,	(07274)3096	,	nardinischule.germersheim@t-online.de	,http://www.nardinischule.de,öffentliche Schule,N,Angebotsform,178,65,113,163,15,19,4,-,58,120,-,-,31,24,-,5
Förderschule,"Germersheim, LK",Rülzheim,31600,Förderschule                       ,SFS Rülzheim                       ,Schulstr. 16,76761,Rülzheim,	(07272)6413	,	(07272)919050	,	info@sfs-ruelzheim.de	,www.sfs-ruelzheim.de,öffentliche Schule,N,verpflichtender Form,124,39,85,114,10,27,17,-,124,-,-,-,14,6,6,6
Förderschule,"Kaiserslautern, kreisfreie Stadt",Kaiserslautern   ,30485,Schule am Beilstein                ,SFGSFS Kaiserslautern              ,Velmannstr. 13,67657,Kaiserslautern   ,	(0631)3402552	,	(0631)3402553	,	schuleambeilstein@kaiserslautern.de	,http://schule-am-beilstein.bildung-rp.de,öffentliche Schule,N,verpflichtender Form,129,36,93,125,4,15,11,-,24,-,-,105,15,5,17,22
Förderschule,"Kaiserslautern, kreisfreie Stadt",Kaiserslautern   ,31417,Fritz-Walter-Schule                ,SFL Kaiserslautern                 ,Erfurter Str. 68 - 70,67663,Kaiserslautern   ,	(0631)3505823	,	(0631)3505824	,	fritz-walter-schule@live.de	,http://www.fritz-walter-schule.bildung-rp.de,öffentliche Schule,N,Angebotsform,103,40,63,103,-,1,1,-,18,85,-,-,32,12,4,2
Förderschule,"Kaiserslautern, LK",Enkenbach-Alsenborn,31480,Hans-Zulliger-Schule               ,SFL Enkenbach-Alsenborn            ,Neukircher Str. 4,67677,Enkenbach-Alsenborn,	(06303)983443	,	(06303)983445	,	HZS-Enkenbach@t-online.de	,http://Hans-Zulliger-Schule.bildung-rp.de,öffentliche Schule,N,Angebotsform,68,24,44,68,-,1,1,-,21,47,-,-,9,4,-,2
Förderschule,"Kaiserslautern, LK",Landstuhl  Sickingenstadt,30575,Förderschule                       ,SFMG Landstuhl	                    ,Am Rothenborn,66849,Landstuhl  Sickingenstadt,	(06371)934263	,	(06371)934280	,	schule@reha-westpfalz.de	,http://www.reha-westpfalz.de/rw/397.html,private Schule,N,verpflichtender Form,162,53,109,153,9,15,6,-,9,19,-,134,16,7,29,39
Förderschule,"Kaiserslautern, LK",Landstuhl  Sickingenstadt,31087,Jakob-Weber-Schule                 ,SFL Landstuhl                      ,Neugasse 2,66849,Landstuhl  Sickingenstadt,	(06371)618160	,	(06371)6181613	,	Jakob-Weber-Schule@web.de	,http://jakob-weber-schule.bildung-rp.de/,öffentliche Schule,N,Angebotsform,91,27,64,90,1,20,19,-,14,77,-,-,13,15,1,5
Förderschule,"Koblenz, kreisfreie Stadt",Koblenz,30409,Schule am Bienhorntal              ,SFG Koblenz                        ,Lehrhohl 44,56077,Koblenz,	(0261)79851	,	(0261)79858	,	Schule-am-Bienhorntal@t-online.de	,-,öffentliche Schule,N,verpflichtender Form,120,37,83,107,13,19,6,-,-,-,-,120,4,10,17,11
Förderschule,"Koblenz, kreisfreie Stadt",Koblenz,30593,Hans-Zulliger-Schule               ,SFL Koblenz II                     ,Brenderweg 23,56070,Koblenz,	(0261) 96 35 810	,	(0261)  96 35 81 13	,	Hans-Zulliger-Schule@web.de	,http://zulliger-schule-koblenz.bildung-rp.de,öffentliche Schule,N,Angebotsform,80,32,48,75,5,19,14,-,22,58,-,-,16,12,1,-
Förderschule,"Koblenz, kreisfreie Stadt",Koblenz,31300,Diesterweg-Schule                  ,SFLSFE Koblenz I                   ,Kastorpfaffenstr. 9-11,56068,Koblenz,	(0261)34160	,	0261-91469055	,	diesterweg-schule@gmx.de	,http://www.diesterweg-schule.de,öffentliche Schule,N,Angebotsform,101,39,62,99,2,16,14,-,14,87,-,-,24,16,-,2
Förderschule,"Kusel, LK",Kusel  ,30532,Jakob-Muth-Schule                  ,SFG Kusel                          ,Hollerstr. 4,66869,Kusel  ,	(06381)42864200	,	06381 42864222	,	buerojms@web.de	,www.jakobmuthschule.de,öffentliche Schule,N,verpflichtender Form,46,13,33,45,1,9,8,-,-,-,-,46,3,2,5,10
Förderschule,"Kusel, LK",Kusel  ,31090,Jakob-Muth-Schule                  ,SFLSFS Kusel                       ,Hollerstr. 2,66869,Kusel  ,	(06381)42864-100	,	(06381)42864-111	,	sekretariat@jakob-muth-schule.de	,http://jakob-muth-schule.bildung-rp.de/,öffentliche Schule,N,Angebotsform,115,45,70,114,1,4,3,-,29,86,-,-,18,7,1,2
Förderschule,"Kusel, LK",Lauterecken  ,31720,Janusz-Korczak-Schule              ,SFL Lauterecken                    ,Schulstr. 14,67742,Lauterecken  ,	(06382)993689	,	(06382)993723	,	Korczak-Schule-Lauterecken@t-online.de	,http://www.korczak-Schule-Lauterecken.de,öffentliche Schule,N,-,53,21,32,52,1,3,2,-,14,39,-,-,9,4,1,-
Förderschule,"Landau in der Pfalz, kreisfreie Stadt",Landau in der Pfalz   ,30095,Jakob-Reeb-Schule                  ,SFE Landau                         ,Queichheimer Hauptstr. 231,76829,Landau in der Pfalz   ,	(06341)9841300	,	(06341)9844303	,	sonja.schneider@jugendwerk-st-josef.de	,http://www.jugendwerk-landau.de,private Schule,N,verpflichtender Form,272,24,248,272,-,-,-,-,106,166,-,-,39,16,9,24
Förderschule,"Landau in der Pfalz, kreisfreie Stadt",Landau in der Pfalz   ,30562,St. Paulusstift                    ,SFM Landau                         ,Queichheimer Hauptstr. 235,76829,Landau in der Pfalz   ,	(06341)599441	,	(06341)599463	,	Stephanie.Daut@caritas-speyer.de	,http://frderschule-landau.de,private Schule,N,verpflichtender Form,143,51,92,142,1,8,7,-,23,20,-,100,8,18,21,37
Förderschule,"Landau in der Pfalz, kreisfreie Stadt",Landau in der Pfalz   ,30953,Nordringschule                     ,SFL Landau                         ,Nordring 4,76829,Landau in der Pfalz   ,	(06341)83102	,	(06341)898005	,	Nordringschule-Landau@web.de	,http://nordringschule.bildung-rp.de,öffentliche Schule,N,Angebotsform,145,53,92,134,11,12,1,-,34,111,-,-,29,17,-,2
Förderschule,"Landau in der Pfalz, kreisfreie Stadt",Landau in der Pfalz   ,31807,Paul-Moor-Schule                   ,SFG Landau                         ,Münchener Str. 11,76829,Landau in der Pfalz   ,	(06341)50324	,	(06341)5 59 00 20	,	sekretariat@paulmoor-schule.de	,http://www.paulmoor-schule.de,öffentliche Schule,N,verpflichtender Form,94,31,63,92,2,6,4,-,-,-,-,94,4,7,13,19
Förderschule,"Ludwigshafen a.Rhein, krsfr. Stadt",Ludwigshafen am Rhein   ,30052,Georgens-Schule                    ,SFG Ludwigshafen                   ,Rheinhorststr. 34/36,67071,Ludwigshafen am Rhein   ,	(0621)504401210	,	(0621)504401298	,	schulleitung@georgens-schule.de	,http://www.georgens-schule.de,öffentliche Schule,N,verpflichtender Form,186,70,116,151,35,73,38,-,-,-,-,186,8,8,24,33
Förderschule,"Ludwigshafen a.Rhein, krsfr. Stadt",Ludwigshafen am Rhein   ,31540,Schillerschule                     ,SFL Ludwigshafen                   ,Rheingönheimer Str. 103,67065,Ludwigshafen am Rhein   ,	(0621)504423920	,	(0621)504423997	,	SOSCHL-Schiller-LUMU@t-online.de	,http://www.schillerschule.com/,öffentliche Schule,N,-,164,67,97,140,24,65,41,-,39,125,-,-,20,12,-,3
Förderschule,"Ludwigshafen a.Rhein, krsfr. Stadt",Ludwigshafen am Rhein   ,31554,Schloss-Schule                     ,SFL Oggersheim                     ,Schnabelbrunnengasse 41,67071,Ludwigshafen am Rhein   ,	(0621)504401710	,	(0621)504401798	,	info@sfl-schloss-lu.de	,http://www.schloss-schule-lu.bildung-rp.de,öffentliche Schule,N,Angebotsform,208,101,107,182,26,78,52,-,35,173,-,-,35,13,3,1
Förderschule,"Ludwigshafen a.Rhein, krsfr. Stadt",Ludwigshafen am Rhein   ,31583,Schule an der Blies                ,SFL Ludwigshafen                   ,Krummlachstr. 10,67059,Ludwigshafen am Rhein   ,	(0621)504420720	,	(0621)504420797	,	sfl@bliesschulen.de	,http://bliesschule.bildung-rp.de,öffentliche Schule,N,Angebotsform,263,118,145,171,92,145,53,-,50,213,-,-,35,8,4,2
Förderschule,"Ludwigshafen a.Rhein, krsfr. Stadt",Ludwigshafen am Rhein   ,31793,Förderschule                       ,SFM Ludwigshafen                   ,Karl-Lochner-Str. 8,67071,Ludwigshafen am Rhein   ,	(0621)67005171	,	(0621)67005170	,	info@mosaikschule-LU.de	,http://sfm-ludwigshafen.bildung-rp.de,öffentliche Schule,N,verpflichtender Form,185,63,122,164,21,36,15,-,32,32,-,121,14,20,33,50
Förderschule,"Mainz, kreisfreie Stadt",Mainz   ,30245,Peter-Jordan-Schule                ,SFG Mainz                          ,An der Bruchspitze 50,55122,Mainz   ,	(06131)324732	,	(06131)324734	,	schule.peter-jordan@stadt.mainz.de	,http://peter-jordan-schule-mainz.de,öffentliche Schule,N,verpflichtender Form,74,27,47,60,14,36,22,-,-,-,-,74,3,5,13,7
Förderschule,"Mainz, kreisfreie Stadt",Mainz   ,30979,Windmühlenschule                   ,SFL Mainz                          ,Generaloberst-Beck-Str. 1,55129,Mainz   ,	(06131)53966	,	(06131)53966	,	Malte.Daum@stadt.mainz.de	,-,öffentliche Schule,N,Angebotsform,194,68,126,164,30,39,9,-,41,148,-,5,49,38,3,5
Förderschule,"Mainz, kreisfreie Stadt",Mainz   ,31717,Astrid-Lindgren-Schule             ,SFS Mainz                          ,John F. Kennedy-Str. 5-7,55122,Mainz   ,	(06131)324726	,	(06131)324728	,	schule.astrid-lindgren@stadt.mainz.de	,http://www.astrid-lindgren-schule-mainz.de,öffentliche Schule,N,verpflichtender Form,90,31,59,85,5,32,27,-,90,-,-,-,5,11,4,8
Förderschule,"Mainz-Bingen, LK",Bingen am Rhein    ,31134,Rhein-Nahe-Schule                  ,SFLS Bingen                        ,Burgstr. 17,55411,Bingen am Rhein    ,(06721)408780,(06721)4087831,info@rhein-nahe-schule.de,http://www.rhein-nahe-schule.de,öffentliche Schule,N,Angebotsform,61,26,35,56,5,10,5,-,13,48,-,-,8,11,-,2
