Schul-nummer,Kreis,Gemeinde,Rechtsform,Gesamtschule,Name der Schule,PLZ,Schulort,"Straße, Hausnummer",Telefon-vorwahl,Telefon-nummer,Ausländische Schüler,Kennung Internat,Vorklassen,Grundschulen,Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,Integrierte Jahrgangs-stufe,Gymnasien,Förderschulen,Schulen für Erwachsene,Schüler insg. mit Vorklassen,Schüler insg. ohne Vorklassen,Fax,Email Adresse
3583,532,4,1,,Grundschule Medenbach,35767,Breitscheid,Schulstraße 6,2777,7311,,,,37,,,,,,,,,37,37,911799,poststelle@g.medenbach.schulverwaltung.hessen.de
3853,535,4,1,,Windbergschule Freiensteinau,36399,Freiensteinau,Am Sonnenhügel 10,6666,919080,1,,,94,,,,,,,,,94,94,919081,poststelle@windberg.freiensteinau.schulverwaltung.hessen.de
3858,535,8,1,,Freiherr-vom-Stein-Schule Herbstein,36358,Herbstein,Oelegemer Straße 30,6643,8010,12,,,188,,,,,,,,,188,188,919467,poststelle@freiherr-vom-stein.herbstein.schulverwaltung.hessen.de
3861,535,11,1,,Eichbergschule,36341,Lauterbach (Hessen),Am Eichberg 3,6641,3949,56,,13,357,,,,,,,,,370,357,3950,poststelle@eichberg.lauterbach.schulverwaltung.hessen.de
3862,535,11,1,,Gudrun-Pausewang-Schule,36341,Lauterbach (Hessen),Hohenbucher Weg 17,6641,3152,2,,,106,,,,,,,,,106,106,917680,poststelle@gudrun-pausewang.lauterbach.schulverwaltung.hessen.de
3869,535,12,1,,Lautertalschule,36369,Lautertal (Vogelsberg),Schulstraße 4,6645,411,1,,,76,,,,,,,,,76,76,780525,poststelle@lautertal.lautertal.schulverwaltung.hessen.de
3873,535,15,1,,Dieffenbachschule,36110,Schlitz,Schlesische Straße 33,6642,919095,14,,13,320,,,,,,,,,333,320,919096,poststelle@dieffenbach.schlitz.schulverwaltung.hessen.de
3875,535,18,1,,Schlossbergschule,35327,Ulrichstein,Marktstraße 24,6645,501,12,,,110,,,,,,,,,110,110,780604,poststelle@schlossberg.ulrichstein.schulverwaltung.hessen.de
3876,533,2,1,,Schule im Emsbachtal,65611,Brechen,Dietkircher Straße 1,6438,2443,32,,,166,,195,,155,,,,,516,516,923595,poststelle@gh.niederbrechen.schulverwaltung.hessen.de
3877,533,3,1,,Atzelschule Bad Camberg,65520,Bad Camberg,Egerländer Straße 9,6434,930891,13,,14,240,,,,,,,,,254,240,930892,poststelle@g.bad-camberg.schulverwaltung.hessen.de
4797,436,1,1,,Otfried-Preußler-Schule,65812,Bad Soden am Taunus,Am Wasserturm 1,6196,921940,26,,,234,,,,,,,,,234,234,9219416,poststelle@ops.bad-soden.schulverwaltung.hessen.de
5340,611,0,2,,SIS Swiss International School Kassel,34131,Kassel,Johanna-Waescher-Straße 15,561,3166830,22,,,87,,,,,,,,,87,87,31668329,info.kassel@swissinternationalschool.de
6366,433,6,1,,Berufliche Schulen des Kreises Groß-Gerau,64521,Groß-Gerau,Darmstädter Straße 90,6152,9350,13,,,,,,,,,,,28,28,28,935200,poststelle@bs.ar.gross-gerau.schulverwaltung.hessen.de
6367,535,1,1,,Max-Eyth-Schule Alsfeld,36304,Alsfeld,In der Krebsbach 8,6631,96700,11,,,,,,,,,,,41,41,41,967035,poststelle@max-eyth.alsfeld.schulverwaltung.hessen.de
6368,432,4,1,,Landrat-Gruber-Schule,64807,Dieburg,Auf der Leer 11,6071,96480,11,,,,,,,,,,,46,46,46,964840,poststelle@landrat-gruber.dieburg.schulverwaltung.hessen.de
4395,412,0,1,,Valentin-Senger-Schule,60389,Frankfurt am Main,Valentin-Senger-Straße 9,69,21233059,12,,,221,,,,,,,,,221,221,21234724,poststelle@valentin-senger.Frankfurt.schulverwaltung.hessen.de
4396,412,0,1,,Marie-Curie-Schule,60438,Frankfurt am Main,Gr.v.-Stauffenberg-Allee 55,69,21277301,28,,,309,,,,,,,,,309,309,21277345,poststelle@grundschule-riedberg2.frankfurt.schulverwaltung.hessen.de
4533,437,6,2,,Freie Inklusive Schule,64711,Erbach,Bahnstraße 43,6061,12842,,,,11,10,,,,,,,,21,21,–,kontakt@frisch-schule.de
4534,431,2,2,,Senfkorn-Schule,64625,Bensheim,Lilienthalstraße 3 a,6251,9894955,,,,18,,,,,,,,,18,18,9894956,sekretariat@senfkornschule.de
3688,435,3,1,,Grundschule Biebertal,63599,Biebergemünd,Biebertalstraße 12,6050,1340,2,,,133,,,,,,,,,133,133,910890,poststelle@biebertal.biebergemuend.schulverwaltung.hessen.de
3689,435,3,1,,Grundschule Wirtheim,63599,Biebergemünd,Schulstraße 8,6050,7102,4,,,62,,,,,,,,,62,62,907024,poststelle@wirtheim.biebergemuend.schulverwaltung.hessen.de
3690,435,3,1,,Alteburg-Schule,63599,Biebergemünd,Spessartstraße 75,6050,97280,25,,,94,,125,,249,,,,,468,468,972828,poststelle@alteburg.biebergemuend.schulverwaltung.hessen.de
3693,435,4,1,,Haupt- und Realschule Birstein,63633,Birstein,Sudetenstraße 41,6054,2305,9,,,,,80,,287,,,,,367,367,900776,poststelle@hr.birstein.schulverwaltung.hessen.de
3694,435,5,1,,Grundschule Brachttal,63636,Brachttal,Jahnstraße 9,6054,497,14,,,203,,,,,,,,,203,203,914877,poststelle@g.brachttal.schulverwaltung.hessen.de
3695,435,9,1,,Schule am Dorfplatz,63579,Freigericht,Kegelbahnstraße 59,6055,2202,6,,,73,,,,,,,,,73,73,1767,poststelle@dorfplatz.freigericht.schulverwaltung.hessen.de
3696,435,9,1,,Schule der bunten Raben,63579,Freigericht,Spessartblick 4,6055,3003,4,,,50,,,,,,,,,50,50,9073493,poststelle@bunte-raben.freigericht.schulverwaltung.hessen.de
3697,435,9,1,,Regenbogenschule Bernbach,63579,Freigericht,Regenbogenstraße 8,6055,3440,,,,63,,,,,,,,,63,63,934570,poststelle@regenbogen.freigericht.schulverwaltung.hessen.de
3698,435,9,1,,Konrad-Neumann-Schule Neuses,63579,Freigericht,Schulstraße 3,6055,2205,2,,,79,,,,,,,,,79,79,909701,poststelle@neumann.freigericht.schulverwaltung.hessen.de
3699,435,9,1,,Bischof Dr. Christian Schreiber-Schule,63579,Freigericht,Am Weißen Stein 21,6055,4837,8,,,187,,,,,,,,,187,187,4084,poststelle@schreiber.freigericht.schulverwaltung.hessen.de
3700,435,10,1,,Philipp-Reis-Schule,63571,Gelnhausen,Philipp-Reis-Straße 16,6051,2102,156,,13,244,,207,,,,,,,512,499,15593,poststelle@reis.gelnhausen.schulverwaltung.hessen.de
3701,435,10,1,,Ysenburgschule,63571,Gelnhausen,Konrad-Schneider-Weg 7,6051,69500,9,,,245,,,,,,,,,245,245,69325,poststelle@ysenburg.gelnhausen.schulverwaltung.hessen.de
3702,435,10,1,,Herzbergschule Roth,63571,Gelnhausen,Rathausstraße 1,6051,4031,3,,,82,,,,,,,,,82,82,884976,poststelle@herzberg.gelnhausen.schulverwaltung.hessen.de
3703,435,12,1,,Kinzigtalschule,63584,Gründau,Büdinger Straße 11 a,6051,5802,24,,,195,,,,,,,,,195,195,2854,poststelle@kinzigtal.gruendau.schulverwaltung.hessen.de
3704,435,15,1,,Alte Dorfschule Gondsroth,63594,Hasselroth,Schulstraße 14,6055,84635,4,,,25,,,,,,,,,25,25,9121516,poststelle@gondsroth.hasselroth.schulverwaltung.hessen.de
3705,435,15,1,,Hasselbachschule,63594,Hasselroth,Bornwiesenweg 20,6055,2866,1,,,117,,,,,,,,,117,117,915317,poststelle@hasselbach.hasselroth.schulverwaltung.hessen.de
3706,435,10,1,,Igelsgrund-Schule,63571,Gelnhausen,Schulstraße 11,6051,73800,4,,,134,,,,,,,,,134,134,978900,poststelle@igelsgrund.gelnhausen.schulverwaltung.hessen.de
3708,435,16,1,,Jossatal-Schule,63637,Jossgrund,Schulstraße 12-14,6059,411,6,,,140,,8,,,,,,,148,148,203,poststelle@jossatal.jossgrund.schulverwaltung.hessen.de
3710,435,18,1,,Geisbergschule,63589,Linsengericht,Schulstraße 29,6051,71364,7,,,182,,,,,,,,,182,182,971424,poststelle@geisberg.linsengericht.schulverwaltung.hessen.de
4179,412,0,1,,Henri-Dunant-Schule,65936,Frankfurt am Main,Schaumburger Straße 66-68,69,342411,60,,,226,,,,,,,,,237,237,34058194,poststelle@henri-dunant-schule.frankfurt.schulverwaltung.hessen.de
4180,531,5,1,,Korczak-Schule,35394,Gießen,Alter Steinbacher Weg 24,641,3063062,13,,11,249,,,,,,,,,260,249,3063069,poststelle@korczak.giessen.schulverwaltung.hessen.de
4181,531,5,1,,Weiße Schule Wieseck,35396,Gießen,Lichtenauer Weg 3,641,3062538,14,,,219,,,,,,,,,219,219,3062538,poststelle@weisse-wieseck.giessen.schulverwaltung.hessen.de
4182,414,0,1,,Geschwister-Scholl-Schule,65197,Wiesbaden,Geschwister-Scholl-Straße 2,611,317156,89,,12,460,,,,,,,,,472,460,314986,poststelle@geschwister-scholl-grundschule.wiesbaden.schulverwaltung.hessen.de
4183,435,14,1,,Erich-Kästner-Schule,63452,Hanau,Lortzingstraße 20,6181,82677,31,,10,349,,,,,,,,,359,349,82641,poststelle@erich-kaestner-schule.hanau.schulverwaltung.hessen.de
4186,431,7,1,,Müller-Guttenbrunn-Schule,64658,Fürth,In den Pfarrwiesen 1,6253,5564,46,,13,314,,,,,,,,,348,335,239087,poststelle@mgs.fuerth.schulverwaltung.hessen.de
4187,431,4,1,,Langenbergschule,69488,Birkenau,Bergstraße 17,6201,391390,46,,,,,94,,415,,,,,509,509,3913925,poststelle@hr.birkenau.schulverwaltung.hessen.de
4188,432,3,1,,Hans-Quick-Schule,64404,Bickenbach,Am Hintergraben 28,6257,933930,12,,14,197,,,,,,,,,211,197,9339326,poststelle@hqs.bickenbach.schulverwaltung.hessen.de
4189,432,16,1,,Eiche-Schule,64372,Ober-Ramstadt,Erfurter Straße 30,6154,627000,15,,,224,,,,,,,,,224,224,6270030,poststelle@es.ober-ramstadt.schulverwaltung.hessen.de
4114,439,8,1,,Taubenbergschule,65510,Idstein,Schöne Aussicht,6126,944370,25,,,253,,,,,,,,,264,264,944371,poststelle@taubenbergschule.idstein.schulverwaltung.hessen.de
4115,439,8,1,1,Limesschule,65510,Idstein,Seelbacher Straße 37-39,6126,229610,110,,,,,82,,436,,575,,,1093,1093,229611,poststelle@limesschule.idstein.schulverwaltung.hessen.de
4116,439,8,1,,Alteburgschule Heftrich,65510,Idstein,Gartenstraße 2,6126,2444,10,,,133,,,,,,,,,133,133,227101,poststelle@alteburgschule.idstein-heftrich.schulverwaltung.hessen.de
4117,439,8,1,,Wörsbachschule,65510,Idstein,Jahnstraße 12,6126,3622,12,,,143,,,,,,,,,143,143,990427,poststelle@wbs.idstein-woersdorf.schulverwaltung.hessen.de
4119,439,11,1,,Lenzenbergschule,65527,Niedernhausen,Neugasse 12 b,6127,3311,1,,,128,,,,,,,,,128,128,701974,poststelle@lenzenbergschule.niederseelbach.schulverwaltung.hessen.de
4122,439,2,1,,Wiedbachschule,65307,Bad Schwalbach,Rudolf-Höhn-Straße 23,6124,8575,68,,,394,,,,,,,,,394,394,720058,poststelle@wiedbachschule.bad-schwalbach.schulverwaltung.hessen.de
4124,439,15,1,,Sonnenschule,65232,Taunusstein,Ziegelhüttenweg,6128,72420,2,,,123,,,,,,,,,123,123,951320,poststelle@sonnenschule.taunusstein.schulverwaltung.hessen.de
4125,439,15,1,,Silberbachschule,65232,Taunusstein,Mainzer-Allee 18,6128,86276,25,,,301,,,,,,,,,301,301,85624,poststelle@silberbachschule.taunusstein-wehen.schulverwaltung.hessen.de
4127,434,9,1,,Jürgen-Schumann-Schule,61389,Schmitten,Schöne Aussicht 29,6084,2626,18,,,175,,,,,,,,,175,175,948518,poststelle@jss.schmitten.schulverwaltung.hessen.de
4128,434,11,1,,Buchfinkenschule,61250,Usingen,Schulstraße 8,6081,587870,9,,,138,,,,,,,,,138,138,5878799,poststelle@bfs.usingen.schulverwaltung.hessen.de
4430,438,8,2,2,Montessori-Schule Mühlheim,63165,Mühlheim am Main,Carl-Zeiss-Straße 4,6108,619083,,,,56,,,,,73,,,,129,129,–,verwaltung@montessori-muehlheim.de
4431,438,1,2,2,Freie Montessori-Schule,63128,Dietzenbach,Gustav-Heinemann-Ring 110,6074,7281760,1,,,74,,,,,31,,,,105,105,7281762,info@montessori-dietzenbach.de
4432,438,13,1,,Emma-Schule,63500,Seligenstadt,Giselastraße 7,6182,22112,17,,13,269,,,,,,,,,282,269,899688,poststelle@emma-schule.seligenstadt.schulverwaltung.hessen.de
4433,413,0,2,,Erasmus-Schule Offenbach,63067,Offenbach am Main,Dreieichring 24,69,264988160,,,,93,,,,,,,,,93,93,264988164,info@erasmus-offenbach.de
4480,439,8,2,2,Montessori Schule Idstein e.V.,65510,Idstein,Wiesbadener Straße 74,6126,226083,1,,,66,,,,,89,,,,155,155,229460,montessori-schule-idstein@t-online.de
4481,414,0,2,2,Campus Klarenthal,65195,Wiesbaden,Am Kloster Klarenthal 7 a,611,7244240,19,,,90,,,,,259,27,,,376,376,72442415,zentrale@campus-klarenthal.de
4482,414,0,1,2,Alexej von Jawlensky-Schule,65199,Wiesbaden,Hans-Böckler-Straße 1,611,317811,69,,,,,,,,623,,,,623,623,315957,poststelle@alexej-jawlensky.wiesbaden.schulverwaltung.hessen.de
4483,414,0,2,,Private Bilinguale Ganztagsschule,65189,Wiesbaden,Langenbeckstraße 5,611,3410691,5,,,59,,,,,,,,,59,59,16660850,info@pbg-wiesbaden.de
4530,437,6,1,,Zentrum Brückenschule,64711,Erbach,Werner von Siemens Straße 78,6062,260393,3,,,,,,,,,,49,,49,49,260418,poststelle@zeh.erbach.schulverwaltung.hessen.de
4531,431,21,2,2,Freie Schule Odenwald-Drachenschule,69483,Wald-Michelbach,Birkenweg 31,6207,924851,,,,14,,,,,30,,,,44,44,949872,sekretariat@drachenschule-odenwald.de
4532,431,20,2,,Metropolitan International School,68519,Viernheim,Walter-Gropius-Allee 3,6204,7087796,57,,,74,,,,,,43,,,117,117,–,info@metroschools.de
4601,412,0,1,,Viktor-Frankl-Schule,60320,Frankfurt am Main,Fritz-Tarnow-Straße 27,69,21235132,45,,,,,,,,,,162,,162,162,21232058,poststelle@viktor-frankl-schule.frankfurt.schulverwaltung.hessen.de
4602,412,0,1,,Kasinoschule,65929,Frankfurt am Main,Kasinostraße 4,69,21245554,96,,,,,,,,,,148,,173,173,21245843,poststelle@kasinoschule.frankfurt.schulverwaltung.hessen.de
4604,412,0,2,,Michael-Schule,65933,Frankfurt am Main,Eichhörnchenpfad 4,69,93995580,9,,,,,,,,,,69,,69,69,939955820,info@michael-schule-frankfurt.de
4605,412,0,1,,Heinrich-Hoffmann-Schule,60528,Frankfurt am Main,Marienburgstraße 4,69,67059800,30,,,,,,,,,,262,,262,262,67059801,poststelle@heinrich-hoffmann-schule.frankfurt.schulverwaltung.hessen.de
4606,412,0,1,,Mosaikschule,60439,Frankfurt am Main,Gerhart-Hauptmann-Ring 240 a,69,21270277,50,,,,,,,,,,146,,146,146,21270040,poststelle@mosaikschule.frankfurt.schulverwaltung.hessen.de
4607,412,0,1,,Weißfrauenschule,60329,Frankfurt am Main,Gutleutstraße 38,69,21235670,77,,17,,,,,,,,356,,373,356,21240533,poststelle@weissfrauenschule.frankfurt.schulverwaltung.hessen.de
4608,412,0,1,,Hermann-Herzog-Schule,60320,Frankfurt am Main,Fritz-Tarnow-Straße 27,69,21235131,20,,,,,,,,,,81,,81,81,21239910,poststelle@hermann-herzog-schule.frankfurt.schulverwaltung.hessen.de
4609,412,0,1,,Hermann-Luppe-Schule,60488,Frankfurt am Main,An der Praunheimer Mühle 7,69,21232188,6,,,,,,,,,,60,,60,60,21238763,poststelle@schule-fuer-erziehungshilfe.frankfurt.schulverwaltung.hessen.de
4610,412,0,1,,Fritz-Redl-Schule,65929,Frankfurt am Main,Kurmainzer Straße 20,69,21242021,8,,,,,,,,,,37,,37,37,21248599,poststelle@fritz-redl-schule.frankfurt.schulverwaltung.hessen.de
4611,412,0,1,,Bürgermeister-Grimm-Schule,60326,Frankfurt am Main,Ackermannstraße 39,69,21235509,64,,,,,,,,,,132,,132,132,21242570,poststelle@buergermeister-grimm-schule.frankfurt.schulverwaltung.hessen.de
4612,412,0,1,,Charles-Hallgarten-Schule,60386,Frankfurt am Main,Am Bornheimer Hang 10,69,21235291,43,,,,,,,,,,128,,128,128,46998270,poststelle@hallgartenschule.frankfurt.schulverwaltung.hessen.de
4614,412,0,1,,Johann-Hinrich-Wichern-Schule,60433,Frankfurt am Main,Victor-Gollancz-Weg 4,69,21235134,80,,,,,,,,,,222,,234,234,21232753,poststelle@johann-hinrich-wichern-schule.frankfurt.schulverwaltung.hessen.de
4615,412,0,1,,Karl-Oppermann-Schule,65929,Frankfurt am Main,Gotenstraße 38,69,21245458,49,,,,,,,,,,117,,117,117,21245794,poststelle@karl-oppermann-schule.frankfurt.schulverwaltung.hessen.de
4616,412,0,1,,Wallschule,60594,Frankfurt am Main,Diesterwegstraße 11,69,21235258,94,,,,,,,,,,183,,194,194,21231636,poststelle@wallschule.frankfurt.schulverwaltung.hessen.de
4619,439,13,2,,Vincenzschule Aulhausen,65385,Rüdesheim am Rhein,Vincenzstraße 60,6722,901302,15,%,,139,,,,,,,240,,379,379,901320,a.doberschuetz@st-vincenzstift.de
4622,439,4,1,,Leopold-Bausinger-Schule,65366,Geisenheim,Winkeler Straße 87,6722,8101,14,,,,,,,,,,61,,61,61,980858,poststelle@bausingerschule.geisenheim.schulverwaltung.hessen.de
4623,411,0,1,,Ernst-Elias-Niebergall-Schule,64289,Darmstadt,Vogelsbergstraße 46,6151,132557,70,,,,,,,,,,247,,263,263,133412,poststelle@eens.darmstadt.schulverwaltung.hessen.de
4624,411,0,1,,Herderschule,64285,Darmstadt,Am Kapellberg 1,6151,2786530,23,,14,,,,,,,,177,,191,177,27865320,poststelle@herder.darmstadt.schulverwaltung.hessen.de
4626,411,0,1,,Mühltalschule,64297,Darmstadt,Nußbaumallee 6,6151,132849,18,,,,,,,,,,53,,53,53,133408,poststelle@mts.darmstadt.schulverwaltung.hessen.de
4627,531,5,1,,Albert-Schweitzer-Schule,35394,Gießen,Grünberger Straße 216,641,3062586,18,,,,,,,,,,125,,125,125,3062595,poststelle@albert-schweitzer.giessen.schulverwaltung.hessen.de
4628,531,5,1,,Hans-Rettig-Schule,35392,Gießen,Feulgenstraße 12,641,98542988,9,,,,,,,,,,61,,61,61,98542989,poststelle@hrs.giessen.schulverwaltung.hessen.de
4629,531,5,1,,Martin-Buber-Schule,35392,Gießen,Carl-Franz-Straße 18,641,2716,15,,,,,,,,,,133,,133,133,2717,poststelle@martin-buber.giessen.schulverwaltung.hessen.de
4630,531,5,1,,Helmut-von-Bracken-Schule,35394,Gießen,Grünberger Straße 186,641,3063043,4,,18,,,,,,,,211,,229,211,3063045,poststelle@helmut-von-bracken.giessen.schulverwaltung.hessen.de
4631,435,19,1,,Friedrich-Fröbel-Schule,63477,Maintal,Wichernstraße 14,6181,495860,29,,,,,,,,,,119,,119,119,48673,poststelle@friedrich-froebel-schule.hanau.schulverwaltung.hessen.de
4632,435,14,1,,Elisabeth-Schmitz-Schule,63457,Hanau,Bertha-von-Suttner-Straße 10,6181,423097,35,,,,,,,,,,174,,174,174,4230989,poststelle@ess.hanau.schulverwaltung.hessen.de
4633,413,0,1,,Fröbelschule,63067,Offenbach am Main,Goethestraße 10-12,69,80652755,32,,,,,,,,,,116,,116,116,80652309,poststelle@froebel.offenbach.schulverwaltung.hessen.de
4634,413,0,1,,Ludwig-Dern-Schule,63069,Offenbach am Main,Schubertstraße 89,69,80652247,87,,,,,,,,,,192,,202,202,80653438,poststelle@dern.offenbach.schulverwaltung.hessen.de
4636,414,0,1,,Albert-Schweitzer-Schule,55246,Mainz-Kostheim,Passauer Straße 48,6134,566970,30,,,,,,,,,,121,,121,121,5669717,poststelle@albert-schweitzer-schule.wiesbaden.schulverwaltung.hessen.de
4638,414,0,1,,Comeniusschule,65195,Wiesbaden,Comeniusstraße 5,611,312237,59,,,,,,,,,,176,,176,176,313947,poststelle@comeniusschule.wiesbaden.schulverwaltung.hessen.de
4639,414,0,1,,Helen-Keller-Schule,65199,Wiesbaden,Landgrabenstraße 9,611,4118780,14,,25,,,,,,,,155,,180,155,4118789,poststelle@helen-keller-schule.wiesbaden.schulverwaltung.hessen.de
4640,414,0,1,,Johann-Hinrich-Wichern-Schule,65203,Wiesbaden,Dyckerhoffstraße 22,611,319183,9,,,,,,,,,,70,,70,70,314996,poststelle@johann-hinrich-wichern-schule.wiesbaden.schulverwaltung.hessen.de
4642,414,0,2,,Schule am Geisberg,65193,Wiesbaden,Jonas-Schmidt-Straße 2,611,94587013,27,,,,,,,,,,204,,204,204,94587030,poststelle@geisberg.wiesbaden.schulverwaltung.hessen.de
4643,414,0,1,,Friedrich-von-Bodelschwingh-Schule,65187,Wiesbaden,Pörtschacher Straße 12,611,5410710,20,,,,,,,,,,135,,135,135,54107119,poststelle@friedrich-von-bodelschwingh-schule.wiesbaden.schulverwaltung.hessen.de
4645,535,1,1,,Erich-Kästner-Schule Alsfeld,36304,Alsfeld,Im Klaggarten 6,6631,2176,1,,,,,,,,,,22,,22,22,801774,poststelle@erich-kaestner.alsfeld.schulverwaltung.hessen.de
4647,431,2,1,,Kirchbergschule,64625,Bensheim,Darmstädter Straße 45,6251,4597,24,,,70,,,,,,,88,,158,158,1039588,poststelle@kirchbergschule.bensheim.schulverwaltung.hessen.de
4649,431,11,1,,Siegfriedschule,64646,Heppenheim (Bergstraße),Mainzer Straße 8,6252,9598986,17,,,,,,,,,,55,,55,55,9598985,poststelle@siegfried.heppenheim.schulverwaltung.hessen.de
4650,431,13,1,,Biedensandschule,68623,Lampertheim,Carl-Lepper-Straße 7,6206,4174,6,,,,,,,,,,98,,98,98,159851,poststelle@biedensand.lampertheim.schulverwaltung.hessen.de
4652,431,20,1,,Albert-Schweitzer-Schule,68519,Viernheim,Molitorstraße 14,6204,4421,22,,10,,,,,,,,78,,88,78,9112439,poststelle@ass.viernheim.schulverwaltung.hessen.de
4654,534,7,1,,Hilda-Heinemann-Schule Hommertshausen,35232,Dautphetal,Zwischen den Dörfern 1,6468,912207,12,,,,,,,,,,80,,80,80,912208,poststelle@hhs.hommertshausen.schulverwaltung.hessen.de
4655,534,7,1,,Burgberg-Schule Friedensdorf,35232,Dautphetal,Am Eckeberg,6466,1442,6,,,,,,,,,,45,,45,45,912887,poststelle@bbs.friedensdorf.schulverwaltung.hessen.de
4656,534,10,1,,Otfried-Preußler-Schule,35075,Gladenbach,Lerchenweg 2,6462,8344,6,,,,,,,,,,67,,67,67,912988,poststelle@ops.weidenhausen.schulverwaltung.hessen.de
4657,440,6,2,,Lebensgemeinschaft Bingenheim e.V.,61209,Echzell,Schloßstraße 9,6035,810,1,%,,,,,,,,,67,,67,67,81126,kontakt@lebensgemeinschaft-bingenheim.de
4659,432,8,1,,Albert-Schweitzer-Schule,64347,Griesheim,Hebbelstraße 1,6155,61022,12,,,,,,,,,,26,,26,26,605530,poststelle@ass.griesheim.schulverwaltung.hessen.de
4660,432,14,2,,Wichernschule,64367,Mühltal,Stiftstraße 2 b,6151,1495291,17,%,,,,,,,,,141,,141,141,1495295,wis-nrd@t-online.de
4661,432,14,1,,Steinrehschule,64367,Mühltal,Bahnhofstraße 16,6151,146717,9,,,,,,,,,,57,,57,57,917721,poststelle@srs.muehltal.schulverwaltung.hessen.de
4662,432,18,1,,Schillerschule,64319,Pfungstadt,Christian-Stock-Straße 6,6157,4138,5,,,,,,,,,,46,,46,46,5677,poststelle@sis.pfungstadt.schulverwaltung.hessen.de
4663,432,23,1,,Anna-Freud-Schule,64331,Weiterstadt,Büttelborner Weg 3,6150,4244,14,,,,,,,,,,94,,94,94,4244,poststelle@pps.weiterstadt.schulverwaltung.hessen.de
4664,432,11,2,,Bischof Ketteler Schule,64846,Groß-Zimmern,Burgstraße 5,6071,49430,5,,,,,,,,,,76,,76,76,49438,scheuch-ahrens.bks@st-josephshaus.de
4666,532,11,1,,Schule am Budenberg,35708,Haiger,Am Vogelgesang,2773,4804,6,,,,,,,,,,133,,133,133,913529,poststelle@budenberg.haiger.schulverwaltung.hessen.de
4668,532,12,1,,Kirchbergschule,35745,Herborn,Nassaustraße 11,2772,3704,13,,,,,,,,,,87,,87,87,922862,poststelle@kirchberg.herborn.schulverwaltung.hessen.de
4669,437,1,1,,Georg-Vetter-Schule Bad König,64732,Bad König,Mainstraße 42,6063,5779971,10,,,,,,,,,,46,,46,46,5779974,poststelle@sfl.bad-koenig.schulverwaltung.hessen.de
4671,440,5,1,,Gabriel-Biel-Schule,35510,Butzbach,August-Storch-Straße 5,6033,65717,4,,,,,,,,,,61,,61,61,984518,poststelle@gbbz.butzbach.schulverwaltung.hessen.de
4672,440,8,1,,Johann-Peter-Schäfer-Schule,61169,Friedberg,Johann-Peter-Schäfer-Str. 1,6031,6080,15,%,5,,,,,,,,176,,181,176,608499,poststelle@jpss.friedberg.schulverwaltung.hessen.de
5014,412,0,1,,Holbeinschule,60594,Frankfurt am Main,Textorstraße 111,69,21235249,81,,,,,,,325,,,,,325,325,21231674,poststelle@holbeinschule.frankfurt.schulverwaltung.hessen.de
5015,439,3,1,,Gutenbergschule,65343,Eltville am Rhein,Wiesweg 4-6,6123,906970,69,,,,,,,805,,,,,817,817,906990,poststelle@gutenbergschule.eltville.schulverwaltung.hessen.de
