Staatl. Schulamt,Landkreis/ kreisfr. Stadt,Schulart/ Org.form,Dst-Nr.:,Schulname,Plz,Ort,"Straße, Haus-Nr.",Telefon,Telefax,E-Mail,Homepage,Schulleitung
RO,HRO,RegS,75430353,"Regionale Schule ""Nordlicht-Schule"", Rostock",18109,Rostock,Ratzeburger Straße 9,0381/711066,0381/2074355,Nordlicht-Schule@t-online.de,www.nordlicht-schule.de,"Müller, Nico"
RO,HRO,RegS,75430355,"Regionale Schule ""Otto-Lilienthal-Schule"", Rostock",18147,Rostock,B.-von-Suttner-Ring 1 a,0381/609500,0381/6095040,sekretariat@lilienthalschule.de,www.lilienthalschule.de,"Plattner, Stefan"
RO,HRO,RegS,75430376,"Krusensternschule Rostock, Regionale Schule",18106,Rostock,St.-Jantzen-Ring 6,0381/1214284,0381/1214286,krusensternschule@web.de,www.krusensternschule.de,"Bernhardt, Cornelia"
RO,HRO,Gy,75530359,Erasmus-Gymnasium Rostock,18107,Rostock,Kopenhagener Straße 3,0381/7998821,0381/7998754,leitung@erasmus-gymnasium-rostock.de,www.erasmus-ganztagsgymnasium.de,"Schröder, Bert"
RO,HRO,Gy,75530363,Gymnasium Reutershagen,18069,Rostock,Mathias-Thesen-Straße 17,0381/82060,0381/8087473,sekretariat@gymnasium-reutershagen.de,www.gymnasium-reutershagen.de,"Preiss, Susanne"
RO,HRO,Gy,75530365,Innerstädtisches Gymnasium Rostock,18055,Rostock,Goetheplatz 5,0381/38141010,0381/38141013,Sekretariat1.isg@rostock.de,www.isg-rostock.de,"Döring, Thomas"
RO,HRO,Gy,75530369,Käthe-Kollwitz-Gymnasium Rostock,18146,Rostock,Heinrich-Tessenow-Straße 47,0381/609510,0381/6095139,info@musikgymnasium-kkg-rostock.de,www.musikgymnasium-kkg-rostock.de,"Zinkann, Achim"
RO,HRO,Agy,75530390,Abendgymnasium Rostock,18055,Rostock,Goetheplatz 5,0381/38141020,0381/38141023,sekretariat.abendgymnasium@rostock.de,www.abendgymnasiumrostock.de,"Wasser, Ulrike"
RO,LRO,GS,75135101,Lessing-Grundschule Bad Doberan,18209,Bad Doberan,Beethovenstraße 3,038203/742290,038203/742299,Lessing-Grundschule-DBR@t-online.de,www.lessing-grundschule-baddoberan.de,"Wolff, Hedda"
RO,LRO,GS,75135102,Grundschule Bentwisch,18182,Bentwisch,Stralsunder Straße 58,0381/66673855,0381/66673884,info@grundschule-bentwisch.de,www.grundschule-bentwisch.de,"Lübke, Kerstin"
RO,LRO,GS,75135105,Grundschule Dummerstorf,18196,Dummerstorf,Am Feldrain 16,038208/280,038208/82548,gs-dummerstorf@gmx.de,,"Specht, Ulrike"
RO,LRO,GS,75135107,"""Ostsee-Grundschule""  Graal-Müritz",18181,Graal-Müritz,Ostseering 24,038206/77288,038206/78192,gs-graal-mueritz@t-online.de,,"Möller, Carmen"
RO,LRO,GS,75135109,"Grundschule ""Am Mühlenberg"" Kröpelin",18236,Kröpelin,Schulstraße 1,038292/79846,038292/79847,koppelschule.kroepelin@t-online.de,www.grundchule-kroepelin.de,"Jürgens, Manuela"
RO,LRO,GS,75135111,"Grundschule ""Fritz Reuter"" Kühlungsborn",18225,Kühlungsborn,Hermannstraße 9,038293/7767,038293/877295,grundschule-kborn@t-online.de,www.grundschule-kborn.de,"Rohde, Heike"
RO,LRO,GS,75135113,"Grundschule ""Am Hellbach"", Neubukow",18233,Neubukow,Panzower Weg 23a,038294/78422,038294/16559,Grundschule-Neubukow@t-online.de,www.grundschule-neubukow.de,"Zühlsdorf, Kirstin"
RO,LRO,GS,75135114,"Grundschule "" De Likedeeler"", Rövershagen",18182,Rövershagen,Schulstraße 6,038202/2096,038202/44577,info@grundschule-likedeeler.de,,"Weidemann, Jutta"
RO,LRO,GS,75135116,Grundschule Lichtenhagen-Dorf,18107,Lichtenhagen,Dorfstraße 40,0381/717125,0381/7955281,gs.lichtenhagen-dorf.mv@t-online.de,www.grundschule-lichtenhagen.de,"Adam, Ute"
RO,LRO,GS,75135117,Grundschule Sanitz,18190,Sanitz,Groß Lüsewitzer Weg 5,038209/290,038209/875028,grundschule-sanitz@t-online.de,www.grundschule-sanitz.de,"Schaffus, Elke"
RO,LRO,GS,75135119,"Grundschule an der Recknitz, Tessin",18195,Tessin,Lange Straße 44,038205/13204,038205/13204,grundschule-tessin@web.de,,"Schulz, Ina"
RO,LRO,GS,75135121,Grundschule Blankenhagen,18182,Blankenhagen,Schulweg 5,038201/847,038201/60649,grundschuleblankenhagen@web.de,www.gs-blankenhagen.de,"Fröhlich, Katy"
RO,LRO,GS,75135125,Grundschule Parkentin,18209,Parkentin,Rostocker Straße 22,038203/63763,038203/735257,schule-parkentin@t-online.de,,"Habenicht, Martina"
RO,LRO,GS,75135137,"Grundschule an der Carbäk, Broderstorf",18184,Broderstorf,An der Schule 32,038204/15235,038204/15235,grundschule@amtcarbaek.de,,"Käning, Volker"
RO,LRO,GS,75135138,Regenbogenkinder Grundschule Kritzmow,18198,Kritzmow,Schulweg 1d,038207/769850,038207/769851,schule.kritzmow@t-online.de,www.regenbogenkinder.grundschule-kritzmow.de,"Vogg, Siegrid"
RO,LRO,GS,75135140,Grundschule Rerik,18230,Rerik,Kröpeliner Straße 5,038296/78237,038296/78235,gs-rerik@t-online.de,www.grundschule-rerik.de,"Ruwolt, Karin"
RO,LRO,GS,75135304,"Grundschule und Freizeithaus am Schlossplatz, Bützow",18246,Bützow,Schlossplatz 3,038461/52006,038461/911280,schulleitung1108@hotmail.de,,"Beuster, Silke"
RO,LRO,GS,75135306,"Grundschule ""Johann Wolfgang von Goethe"", Gnoien",17179,Gnoien,Teterower Straße 11 b,039971/12239,039971/30610,grundschule-gnoien@t-online.de,www.grundschule-gnoien.de,"Wippich, Angela"
RO,LRO,GS,75135309,"2. GS ""Fritz Reuter"", Güstrow",18273,Güstrow,Wendenstraße 14,03843/213015,03843/218666,schmeling.fritz-reuter-gs@freenet.de,www.fritz-reuter-schule-guestrow.de,"Vieroth, Torsten"
RO,LRO,GS,75135310,"1. GS ""G. F. Kersting"", Güstrow",18273,Güstrow,Heiligengeisthof 4,03843/682304,03843/680627,Sekretariat.kersting-gs@freenet.de,,"Grothe, Ralph-Peter"
RO,LRO,GS,75135317,Grundschule Teterow,17166,Teterow,Schulkamp 5,03996/120640,03996/152853,grundschule@teterow.de,www.grundschule-teterow.de,"Wagner, Simone"
RO,LRO,GS,75135331,"Grundschule am Schmooksberg, Diekhof",18299,Diekhof,Karl-Hawermann-Straße 12b,038455/20654,038455/20664,schule-am-schmooksberg@t-online.de,,"Grothe, Ralph-Peter"
RO,LRO,GS,75135335,"3. GS ""Schule am Hasenwald"", Güstrow",18273,Güstrow,Hafenstraße 13,03843/684046,03843/683074,schuleamhasenwald-gue@freenet.de,,"Wolf, Diana"
RO,LRO,GS,75135343,Grundschule Lüssow,18276,Lüssow,Schwaaner Straße 38,03843/214195,03843/219639,grundschule.luessow@t-online.de,,"Schlesiger, Roswitha"
RO,LRO,GS,75135347,Grundschule Warnow,18249,Warnow,Mühlenstraße 84,038462/24248,038462/28244,schule_warnow_gs@t-online.de,,"Wildermuth, Ellen"
RO,LRO,FöL,75235147,Schule mit dem Förderschwerpunkt Lernen Bad Doberan,18209,Bad Doberan,Bollhäger Weg 2,038203/62575,038203/14606,foerderzentrum-bad-doberan@web.de,www.foerderzentrum-doberan.de,"Mers, Annett"
RO,LRO,FöL/FöG,75235148,Schule mit den Förderschwerpunkten Lernen und geistige Entwicklung Graal-Müritz,18181,Graal-Müritz,Dr.-Leber-Straße 14,038206/772 12,038206/77813,afs-graal-mueritz@t-online.de,,"Möller, Anja"
RO,LRO,FöG,75235151,Schule mit dem Förderschwerpunkt geistige Entwicklung Bad Doberan,18209,Bad Doberan,Ehm-Welk-Straße 26,038203/65202,038203/735254,Regenbogenschule-dbr@gmx.de,,"Kraatz, Bärbel"
RO,LRO,FöL,75235355,Förderzentrum Bützow - Schule mit dem Förderschwerpunkt Lernen,18246,Bützow,Dr.-Winckler-Straße,038461/69013,038461/69015,foerderzentrum-buetzow@t-online.de,,"Rösel, Ada"
RO,LRO,FöL,75235357,Schule mit dem Förderschwerpunkt Lernen,18273,Güstrow,Ahornpromenade 1,03843/331044,03843/245443,allg.foerderschule-guestrow@t-online.de,www.foerderschule-guestrow.de,"Rösel, Ada"
RO,LRO,FöL/FöG,75235358,Schule mit den Förderschwerpunkten Lernen und geistige Entwicklung,17166,Teterow,Niels-Stensen-Straße 4,03996/172065,03996/140729,foerderzentrum-teterow@t-online.de,,"Schmidt, Thomas"
RO,LRO,FZH,75235359,"Landesförderzentrum für den Förderschwerpunkt ""Hören"" M-V",18273,Güstrow,Plauer Chaussee 6,03843/83130,03843/831326,sekretariat@lfz-hoeren-mv.de,www.lfz-hoeren-mv.de,"Fischer, Gudrun"
RO,LRO,KGS,75335143,"""Schulzentrum Kühlungsborn""
Verb. Regionale Schule und Gymnasium",18225,Kühlungsborn,Neue Reihe 73a,038293/7292,038293/14844,info@schulzentrum-kborn.de,www.schulzentrum-kborn.de,"Schmidt, Ute"
RO,LRO,KGS,75335145,Verb. Regionalschule und Gymnasium Rövershagen - Europaschule,18182,Rövershagen,Köhlerstrat 9,038202/36116,038202/36117,gymroev@t-online.de,www.rsg-roev.de,"Wolk, Christine"
RO,LRO,KGS/GS,75335321,"RecknitzCampus Laage, Kooperative Gesamtschule mit Grundschule ",18299,Laage,Schulstraße 13,038459/66780,038459/667829,mail@recknitzcampus.de,www.recknitzcampus.de,"Kaleun, Brit"
RO,LRO,RegS,75435123,Regionale Schule Dummerstorf,18196,Dummerstorf,Am Feldrain 16,038208/594,038208/60207,Regionale.Schule.Dummerstorf@t-online.de,www.regionale-schule-dummerstorf.de,"Porteck, Jens"
RO,LRO,RegS/GS,75435126,Regionale Schule mit Grundschule Rethwisch,18211,Rethwisch,Schulstraße 5,038203/81130,038203/81130,conventer-schule@t-online.de,www.schule-rethwisch.de,"Lemke, Elke"
RO,LRO,RegS,75435130,"Regionale Schule ""Heinrich Schliemann""",18233,Neubukow,Panzower Weg 38,038294/78257,038294/78870,mail@schliemannschule.de,www.schliemannschule.de,"Pakulat, Sabine"
RO,LRO,RegS,75435131,Regionale Schule Sanitz,18190,Sanitz,John-Brinckman-Straße 16,038209/241,038209/49868,schulleitung@RegionaleSchuleSanitz.de,www.RegionaleSchuleSanitz.de,"Welk, Gisela"
RO,LRO,RegS/GS,75435132,Regionale Schule mit Grundschulteil Schwaan,18258,Schwaan,Rudolf-Breitscheid-Straße 16,03844/813695,03844/813736,regionale-schule@schwaan.info,www.schule-schwaan.de,"Pabusch, Hans-Ulrich"
RO,LRO,RegS,75435133,"Regionale Schule ""Anne Frank"", Tessin",18195,Tessin,St. Jürgen-Straße 61,038205/13323,038205/78702,regionale-schule@tessin.de,www.anne-frank-schule-tessin.de,"Ziolkowski, Ulrich"
RO,LRO,RegS,75435135,"Regionale Schule ""Am Kamp"", Bad Doberan",18209,Bad Doberan,Beethovenstraße 1,038203/62062,038203/736683,regionale-schule-am-kamp@t-online.de,www.kampschule.de,"Gesicki, Andreas"
RO,LRO,RegS/GS,75435136,"Regionale Schule mit Grundschule  Buchenberg, Bad Doberan",18209,Bad Doberan,Ehm-Welk-Straße 24,038203/65206,038203/734593,buchenbergschule@t-online.de,,"Thietke, Herbert"
RO,LRO,RegS/GS,75435139,"Regionale Schule mit Grundschule ""Warnowschule"", Papendorf",18059,Papendorf,Schulstraße 5,0381/4000355,0381/4003902,info@warnowschule.de,www.warnowschule.de,"Willert, Brigitte"
RO,LRO,RegS/GS,75435141,"Regionale Schule mit Grundschule ""Schule am See"", Satow",18239,Satow,Seestraße 9,038295/77790,038295/777914,info@schule-satow.de,www.schule-satow.repage8.de,"Walter, Heike"
RO,LRO,RegS,75435320,"Käthe-Kollwitz-Schule, Regionale Schule, Bützow",18246,Bützow,Dr.-Winkler-Straße 1,038461/2396,038461/52295,regionale-schule-buetzow@t-online.de,,"Radziwolek, Gudrun"
RO,LRO,RegS,75435322,"2. Regionale Schule ""Richard Wossidlo"", Güstrow",18273,Güstrow,Trotschestraße 8,03843/681093,03843/680633,sekretariat@wossidloschule-guestrow.de,www.wossidloschule-guestrow.de,"Jahnke, Sabine"
RO,LRO,RegS,75435328,"Warbel-Schule Gnoien, Regionale Schule",17179,Gnoien,Schützenplatz 10,039971/12117,039971/30611,regs-gnoien@web.de,www.warbel-schule-gnoien.de,"Schlaak, Karsten"
RO,LRO,RegS/GS,75435330,Regionale Schule mit Grundschule Bernitt,18249,Bernitt,Schulstraße 7,038464/20250,038464/22858,info@schule-bernitt.de,www.schule-bernitt.de,"Murk, Mirko"
RO,LRO,RegS/GS,75435333,"5. Regionale Schule ""Schule am Inselsee"", Güstrow",18273,Güstrow,Werner-Seelenbinder-Straße 1,03843/331142,03843/344567,Schuleaminselsee-gue@freenet.de,www.schule-am-inselsee.de,"Herrmann, Irmtraud"
RO,LRO,RegS,75435334,"3. Regionalschule ""Thomas Müntzer"", Güstrow",18273,Güstrow,Wendenstraße 13,03843/214075,03843/211123,thomas.muentzer@freenet.de,www.thomas-muentzer-schule-guestrow.de,"Siegesmund, Manuela"
RO,LRO,RegS/GS,75435338,"Johann-Heinrich-von-Thünen-Schule 
Regionale Schule mit Grundschule, Jördenstorf",17168,Jördenstorf,Klenzer Weg 6,039977/30224,039977/30314,rs-joerdenstorf@t-online.de,,"Görke, Jens"
RO,LRO,RegS/GS,75435339,Regionale Schule Krakow am See mit Grundschule,18292,Krakow am See,Dobbiner Chaussee 7,038457/22241,038457/22242,buero@schule-kas.de,www.schule-kas.de,"Watzke, Heike"
RO,LRO,RegS/GS,75435341,"Johann-Pogge-Schule, Regionale Schule mit Grundschule, Lalendorf",18279,Lalendorf,Schulstraße 15,038452/20241,038452/22347,schule-lalendorf@t-online.de,www.schule-lalendorf.de,"Ackermann, Ortwin"
RO,LRO,RegS,75435346,Regionale Schule Teterow,17166,Teterow,Straße der Freundschaft 5,03996/158600,03996/158618,reg-schule@teterow.de,www.teterow.de,"Herz, Dagmar"
RO,LRO,RegS/GS,75435348,Regionale Schule mit Grundschule Zehna,18276,Zehna,Dorfstraße 49,038458/20214,038458/20234,zehna-schule@t-online.de,www.schule-zehna.de,"Hill, Karsten"
RO,LRO,Gy,75535142,"Friderico-Francisceum, Gymnasium Bad Doberan",18209,Bad Doberan,Alexandrinenplatz 11,038203/62395,038203/17149,mail@ffg-dbr.de,www.ffg-dbr.de,"Hacker, Birgit"
RO,LRO,Gy,75535146,Gymnasium Sanitz,18190,Sanitz,Groß Lüsewitzer Weg 4,038209/80492,038209/80493,post@gymnasium-sanitz.de,www.gymnasium-sanitz.de,"Schulz, Angela"
RO,LRO,Gy,75535349,Geschwister-Scholl-Gymnasium Bützow,18246,Bützow,Dr.-Winckler-Straße,038461/4301,038461/52295,Gymn_Buetzow@yahoo.de,www.Gymnasiumbuetzow.de,"Samland, Birgit"
RO,LRO,Gy,75535351,"Gymnasium ""John Brinckman"", Güstrow",18273,Güstrow,Am Wall 6,03843/686693,03843/686697,sekretariat@brinckman.de,www.brinckmann.de,"Rädke, Jan"
RO,LRO,Gy,75535354,Europaschule Gymnasium Teterow,17166,Teterow,Constantin-Kirchhoff-Straße 6,03996/120683,03996/120685,post@egt-mv.de,www.egt-mv.de,"Klaaßen, Monika"
SN,LUP,GS,75135402,Grundschule Balow,19300,Balow,Am Wirtschaftshof 10,038752/80713,038752/80713,grundschule-balow@t-online.de,,"Martens, Martina"
SN,LUP,GS,75135403,"Grundschule ""An den Eichen"", Boizenburg",19258,Boizenburg/Elbe,R.-Breitscheid-Straße 32,038847/54310,038847/62168,gs-eichen@boizenburg-elbe.de,,"Hartmann, Angela"
SN,LUP,GS,75135404,"Grundschule Ludwig Reinhard, Boizenburg",19258,Boizenburg/Elbe,An der Quöbbe 10,038847/54322,038847/37880,l.r.schule@boizenburg-elbe.de,www.ludwig-reinhard-grundschule.de,"Schilling, Sigrun"
SN,LUP,GS,75135407,Grundschule Eldena,19294,Eldena,Ludwigsluster Straße 16,038755/20257,038755 33533,eldena-grundschule@t-online.de,,"Gäth, Brigitte"
SN,LUP,GS,75135408,Grundschule Gammelin,19230,Gammelin,Schulstraße 5,038850/427,038850/443,grundschulegammelin@t-online.de,,"Lembke, Nadine"
SN,LUP,GS,75135410,"Grundschule ""Eldekinder"", Grabow",19300,Grabow,Hufenweg 2a,038756/28961,038756/28968,info@grundschule-eldekinder.de,www.grundschule-eldekinder.de,"Fuhrmann, Andrea"
SN,LUP,GS,75135412,Grundschule Kummer,19288,Kummer,Schulstraße 5a,038751/20712,038751/339800,grundschule.kummer@freenet.de,www.grundschule-kummer.de,"Langner, Ruth"
SN,LUP,GS,75135415,"Grundschule ""Fritz Reuter"", Ludwigslust",19288,Ludwigslust,Kanalstraße 26,03874/23101,03874/6637941,GS-FritzReuter-LWL@t-online.de,www.grundschule-ludwigslust.de,"Schubring, Cornelia"
SN,LUP,GS,75135418,Grundschule Malliß,19294,Malliß,Schulstraße 1,038750/20021,038750/22490,grundschule-malliss@t-online.de,,"Müllers, Petra"
SN,LUP,GS,75135419,"Grundschule ""Viktor Bausch"", Neu Kaliß",19294,Neu Kaliß,Schulstraße 29,038758/26270,038758/36632,GrundschuleNeukaliss@web.de,,"Dörge, Corinna"
SN,LUP,GS,75135420,"Grundschule J. W. v. Goethe"", Neustadt-Glewe",19306,Neustadt-Glewe,Ernst-Thälmann-Straße 22,038757/55430,038757/22825,gs-neustadt-glewe-I@gmx.de,,"Heering, Susanne"
SN,LUP,GS,75135422,Grundschule Pampow,19075,Pampow,Fährweg 8,03865/787910,03865/787912,Grundschule-Pampow@t-online.de,www.grundschule-pampow.de,"Moll, Ines"
SN,LUP,GS,75135424,Grundschule Ludwigslust,19288,Ludwigslust,Schulstraße 5,03874/22405,03874/444060,info@grundschule-techentin.de,www.grundschule-techentin.de,"Dahnke, Simone"
SN,LUP,GS,75135439,"Grundschule ""Boizetal"" Gresse",19258,Gresse,Zarrentiner Straße 14,038842/21204,038842/21281,grundschule.gresse@web.de,www.grundschule-gresse.de,"Mittig, Anke"
SN,LUP,GS,75135442,"GS ""Mühlenteich"", Hagenow",19230,Hagenow,Schulstraße 5,03883/61450,03883/614525,stadtschule.hagenow@online.de,www.stadtschule-hagenow.de,"Ewert, Hilka"
SN,LUP,GS,75135450,Grundschule Wöbbelin,19288,Wöbbelin,Neue Straße 18,038753/80791,038753/80791,gswoebbelin@gmx.de,,"Podlipnik, Jana"
SN,LUP,GS,75135452,"Grundschule ""Am Friedensring"", Wittenburg",19243,Wittenburg,Friedensring 70,038852/52220,038852/53541,Schule-am-Friedensring@t-online.de,,"Marlow, Rüdiger"
SN,LUP,GS,75135453,"Grundschule ""Dr. Otto Steinfatt"", Wittenförden",19073,Wittenförden,Schulstraße 4,0385/6470226,0385/6470742,a.ende@grundschule-wittenfoerden.de,,"Höffer, Ute"
SN,LUP,GS,75136001,Grundschule Brüel,19412,Brüel,Vogelstangenberg 6,038483/293010,038483/293013,Grundschule.Brueel@t-online.de,,"Biegel, Heidrid"
SN,LUP,GS,75136002,"Grundschule ""Wilhelm Busch"", Cambs",19067,Cambs,Retgendorfer Weg 26,03866/369,03866/839369,grundschule-cambs@freenet.de,www.grundschule-cambs.de,"Lange, Irene"
